Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
301077,739148,09002624122000012001000000U0,CENTRO DE DIA NUEVA SANTA MARIA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,Azcapotzalco,Azcapotzalco,NUEVA SANTA MARIA,02800,1,AVENIDA,AVENIDA DE LOS MAESTROS,486,0900200010843,0843,021,19.46137512,-99.16535415,1,2010-07,2010,2018,2025,05,2025-05,denue_09_0525_shp.zip
304591,871791,09014813110000081001000000U6,ASOCIACION MEXICANA PRO-REHABILITACION INTEGRAL,ASOCIACION MEXICANA PROSREHABILITACION INTEGRAL AC,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,REHABILIT,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Benito Juárez,Benito Juárez,SAN PEDRO DE LOS PINOS,03800,1,AVENIDA,DOS,76,0901400010350,0350,007,19.39088764,-99.18401505,1,2010-07,2010,2018,2025,05,2025-05,denue_09_0525_shp.zip
302413,982646,09014711192000023001000000U9,CENTRO CULTURAL DE LA TERCERA EDAD ALHAMBRA,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES INAPAM,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,PORTALES SUR,03300,1,CALLE,ALHAMBRA,1113,090140001101A,101A,017,19.35881814,-99.14529304,1,2010-07,2010,2018,2025,05,2025-05,denue_09_0525_shp.zip
307895,11013524,09014624122000033000000000U1,CENTRO TECNOLOGICO LA CABAÑA,CENTRO DE ATENCION AL ADULTO MAYOR,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE,03100,1,CALLE,PESTALOZZI,0,0901400010613,0613,001,19.37789195,-99.16169385,1,2024-11,2024,2018,2025,05,2025-05,denue_09_0525_shp.zip
313045,902257,09014624121000042000000000U4,CUROPRAXIA,,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Benito Juárez,Benito Juárez,VALLE NORTE,03103,1,EJE VIAL,3 PONIENTE MEDELLIN,381,090140001005A,005A,015,19.40192627,-99.16225906,1,2014-12,2014,2018,2025,05,2025-05,denue_09_0525_shp.zip
327589,9466775,09014813230002523000000000U1,LA PIRINOLA ACTIVIDADES EDUCATIVAS Y DE DESARROLLO,LA PIRINOLA ACTIVIDADES EDUCATIVAS Y DE DESARROLLO AC,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,NONOALO,03700,1,CALLE,B E MURILLO,28,0901400010543,0543,012,19.37938921,-99.18872938,1,2023-11,2023,2018,2025,05,2025-05,denue_09_0525_shp.zip
326514,962253,09014621398000772011000000U3,RESIDENCIA DE DIA MITLA,INAPAM INP 780922,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,51 a 100 personas,Fijo,Benito Juárez,Benito Juárez,NARVARTE ORIENTE,03023,1,CALLE,MITLA,73,0901400010098,0098,012,19.3971381,-99.14958367,1,2010-07,2010,2018,2025,05,2025-05,denue_09_0525_shp.zip
303322,8387277,09003624122000041000000000U7,CASA DE JUBILADOS PEDRO ROMERO DE TERREROS,FUNDACION CONCEPCION BEISTEGUI,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Coyoacán,Coyoacán,ROMERO DE TERREROS,04310,1,CALLE,EPSILON,235,0900300010272,0272,034,19.34371588,-99.1733059,1,2019-11,2019,2018,2025,05,2025-05,denue_09_0525_shp.zip
306893,10745354,09003624122000071000000000U4,CASA DEL ADULTO MAYOR,ALCALDIA DE COYOACAN,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Coyoacán,Coyoacán,PEDREGAL DE SANTA URSULA,04600,1,CALLE,SAN ELEUTERIO,0,0900300010978,0978,003,19.30907311,-99.16065195,1,2024-11,2024,2018,2025,05,2025-05,denue_09_0525_shp.zip
306868,9072976,09003624122000063000000000U1,CASA DEL ADULTO MAYOR ANGELES DE LOS REYES,SECRETARIA DE DESARROLLO SOCIAL,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Coyoacán,Coyoacán,LOS REYES,04330,1,CALLE,PLAZUELA DE LOS REYES,0,0900300010450,0450,023,19.33678356,-99.15356946,1,2019-11,2019,2018,2025,05,2025-05,denue_09_0525_shp.zip
