Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Sector,Alcance,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
621399,Otros consultorios del sector público para el cuidado de la salud,Otro consultorio para el cuidado de la salud,Público,Principal,Prefijo SCIAN 621 o 622,11,2018,2025-05
621411,Centros de planificación familiar del sector privado,Centro de planificación familiar,Privado,Principal,Prefijo SCIAN 621 o 622,30,2018,2025-05
621412,Centros de planificación familiar del sector público,Centro de planificación familiar,Público,Principal,Prefijo SCIAN 621 o 622,1,2018,2025-05
621421,Centros del sector privado de atención médica externa para enfermos mentales y adictos,Atención ambulatoria de salud mental y adicciones,Privado,Principal,Prefijo SCIAN 621 o 622,41,2018,2025-05
621422,Centros del sector público de atención médica externa para enfermos mentales y adictos,Atención ambulatoria de salud mental y adicciones,Público,Principal,Prefijo SCIAN 621 o 622,18,2018,2025-05
621491,Otros centros del sector privado para la atención de pacientes que no requieren hospitalización,Otro centro de atención sin hospitalización,Privado,Principal,Prefijo SCIAN 621 o 622,48,2018,2025-05
621492,Otros centros del sector público para la atención de pacientes que no requieren hospitalización,Otro centro de atención sin hospitalización,Público,Principal,Prefijo SCIAN 621 o 622,3,2018,2025-05
621511,Laboratorios médicos y de diagnóstico del sector privado,Laboratorio médico y de diagnóstico,Privado,Principal,Prefijo SCIAN 621 o 622,791,2018,2025-05
621512,Laboratorios médicos y de diagnóstico del sector público,Laboratorio médico y de diagnóstico,Público,Principal,Prefijo SCIAN 621 o 622,6,2018,2025-05
621610,Servicios de enfermería a domicilio,Enfermería a domicilio,No especificado,Principal,Prefijo SCIAN 621 o 622,8,2018,2025-05
621910,Servicios de ambulancias,Ambulancias,No especificado,Principal,Prefijo SCIAN 621 o 622,17,2018,2025-05
621991,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector privado","Banco de sangre, órganos u otro servicio auxiliar",Privado,Principal,Prefijo SCIAN 621 o 622,3,2018,2025-05
621992,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector público","Banco de sangre, órganos u otro servicio auxiliar",Público,Principal,Prefijo SCIAN 621 o 622,3,2018,2025-05
622111,Hospitales generales del sector privado,Hospital general,Privado,Principal,Prefijo SCIAN 621 o 622,139,2018,2025-05
622112,Hospitales generales del sector público,Hospital general,Público,Principal,Prefijo SCIAN 621 o 622,118,2018,2025-05
622211,Hospitales psiquiátricos y para el tratamiento por adicción del sector privado,Hospital psiquiátrico y de tratamiento de adicciones,Privado,Principal,Prefijo SCIAN 621 o 622,9,2018,2025-05
622212,Hospitales psiquiátricos y para el tratamiento por adicción del sector público,Hospital psiquiátrico y de tratamiento de adicciones,Público,Principal,Prefijo SCIAN 621 o 622,5,2018,2025-05
622311,Hospitales del sector privado de otras especialidades médicas,Hospital de otra especialidad médica,Privado,Principal,Prefijo SCIAN 621 o 622,80,2018,2025-05
622312,Hospitales del sector público de otras especialidades médicas,Hospital de otra especialidad médica,Público,Principal,Prefijo SCIAN 621 o 622,22,2018,2025-05
623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",Residencia con cuidados de enfermería,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,12,2018,2025-05
623112,"Residencias del sector público con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",Residencia con cuidados de enfermería,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,4,2018,2025-05
623211,Residencias del sector privado para el cuidado de personas con problemas de retardo mental,Residencia para personas con discapacidad intelectual,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,17,2018,2025-05
623212,Residencias del sector público para el cuidado de personas con problemas de retardo mental,Residencia para personas con discapacidad intelectual,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,1,2018,2025-05
623221,Residencias del sector privado para el cuidado de personas con problemas de trastorno mental y adicción,Residencia para salud mental y adicciones,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,50,2018,2025-05
623222,Residencias del sector público para el cuidado de personas con problemas de trastorno mental y adicción,Residencia para salud mental y adicciones,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,11,2018,2025-05
623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,88,2018,2025-05
623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,21,2018,2025-05
624111,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado,Orientación o trabajo social relacionado con salud,Privado,Complementario,Código social amplio más palabra clave de salud,7,2018,2025-05
624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Orientación o trabajo social relacionado con salud,Público,Complementario,Código social amplio más palabra clave de salud,2,2018,2025-05
624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,22,2018,2025-05
624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,101,2018,2025-05
624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,Grupo de autoayuda para adicciones,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,1264,2018,2025-05
624199,Otros servicios de orientación y trabajo social prestados por el sector público,Orientación o trabajo social relacionado con salud,Público,Complementario,Código social amplio más palabra clave de salud,5,2018,2025-05
