Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Sector,Alcance,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
464111,Farmacias sin minisúper,Farmacia sin minisúper,No especificado,Complementario,Código SCIAN de farmacia,6495,2018,2025-05
464112,Farmacias con minisúper,Farmacia con minisúper,No especificado,Complementario,Código SCIAN de farmacia,827,2018,2025-05
621111,Consultorios de medicina general del sector privado,Consultorio de medicina general,Privado,Principal,Prefijo SCIAN 621 o 622,2793,2018,2025-05
621112,Consultorios de medicina general del sector público,Consultorio de medicina general,Público,Principal,Prefijo SCIAN 621 o 622,128,2018,2025-05
621113,Consultorios de medicina especializada del sector privado,Consultorio de medicina especializada,Privado,Principal,Prefijo SCIAN 621 o 622,3160,2018,2025-05
621114,Consultorios de medicina especializada del sector público,Consultorio de medicina especializada,Público,Principal,Prefijo SCIAN 621 o 622,14,2018,2025-05
621115,Clínicas de consultorios médicos del sector privado,Clínica de consultorios médicos,Privado,Principal,Prefijo SCIAN 621 o 622,274,2018,2025-05
621116,Clínicas de consultorios médicos del sector público,Clínica de consultorios médicos,Público,Principal,Prefijo SCIAN 621 o 622,269,2018,2025-05
621211,Consultorios dentales del sector privado,Consultorio dental,Privado,Principal,Prefijo SCIAN 621 o 622,7287,2018,2025-05
621212,Consultorios dentales del sector público,Consultorio dental,Público,Principal,Prefijo SCIAN 621 o 622,47,2018,2025-05
621311,Consultorios de quiropráctica del sector privado,Quiropráctica,Privado,Principal,Prefijo SCIAN 621 o 622,412,2018,2025-05
621320,Consultorios de optometría,Optometría,No especificado,Principal,Prefijo SCIAN 621 o 622,637,2018,2025-05
621331,Consultorios de psicología del sector privado,Psicología,Privado,Principal,Prefijo SCIAN 621 o 622,719,2018,2025-05
621332,Consultorios de psicología del sector público,Psicología,Público,Principal,Prefijo SCIAN 621 o 622,20,2018,2025-05
621341,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje","Audiología y terapia ocupacional, física o del lenguaje",Privado,Principal,Prefijo SCIAN 621 o 622,498,2018,2025-05
621342,"Consultorios del sector público de audiología y de terapia ocupacional, física y del lenguaje","Audiología y terapia ocupacional, física o del lenguaje",Público,Principal,Prefijo SCIAN 621 o 622,19,2018,2025-05
621391,Consultorios de nutriólogos y dietistas del sector privado,Nutrición y dietética,Privado,Principal,Prefijo SCIAN 621 o 622,330,2018,2025-05
621398,Otros consultorios del sector privado para el cuidado de la salud,Otro consultorio para el cuidado de la salud,Privado,Principal,Prefijo SCIAN 621 o 622,1379,2018,2025-05
