Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
519121,Bibliotecas y archivos del sector privado,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2018,2018-11
519122,Bibliotecas y archivos del sector pÃºblico,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2018-11
519122,Bibliotecas y archivos del sector pÃºblico,Biblioteca infantil o juvenil (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2018-11
531113,Alquiler sin intermediaciÃ³n de salones para fiestas y convenciones,Salón para fiestas infantiles (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,265,2018,2018-11
531113,Alquiler sin intermediaciÃ³n de salones para fiestas y convenciones,Salón para fiestas infantiles (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
611111,Escuelas de educaciÃ³n preescolar del sector privado,Preescolar,Primera infancia (0 a 5 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1753,2018,2018-11
611112,Escuelas de educaciÃ³n preescolar del sector pÃºblico,Preescolar,Primera infancia (0 a 5 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1338,2018,2018-11
611121,Escuelas de educaciÃ³n primaria del sector privado,Primaria,Niñez escolar (6 a 11 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,526,2018,2018-11
611122,Escuelas de educaciÃ³n primaria del sector pÃºblico,Primaria,Niñez escolar (6 a 11 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,2068,2018,2018-11
611131,Escuelas de educaciÃ³n secundaria general del sector privado,Secundaria general,Adolescencia (12 a 14 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,122,2018,2018-11
