id_espacio_publico,id_fuente,parte_original,area_m2,area_ha
EP002352,1,2352,8238.29,0.8238
EP002353,1,2353,472.05,0.0472
EP002354,1,2354,2393.72,0.2394
EP002355,1,2355,27520.96,2.7521
EP002356,1,2356,562.01,0.0562
EP002357,1,2357,131.3,0.0131
EP002358,1,2358,155.04,0.0155
EP002359,1,2359,197.82,0.0198
EP002360,1,2360,2174.14,0.2174
EP002361,1,2361,854.83,0.0855
EP002362,1,2362,456.35,0.0456
EP002363,1,2363,30.84,0.0031
EP002364,1,2364,36079.24,3.6079
EP002365,1,2365,663.37,0.0663
EP002366,1,2366,247.91,0.0248
EP002367,1,2367,3990.76,0.3991
EP002368,1,2368,914.53,0.0915
EP002369,1,2369,321.79,0.0322
EP002370,1,2370,434.25,0.0434
EP002371,1,2371,6613.08,0.6613
EP002372,1,2372,1356.38,0.1356
EP002373,1,2373,357.77,0.0358
EP002374,1,2374,886.18,0.0886
EP002375,1,2375,11508.93,1.1509
EP002376,1,2376,3072.65,0.3073
EP002377,1,2377,143.39,0.0143
EP002378,1,2378,232.13,0.0232
EP002379,1,2379,108.95,0.0109
EP002380,1,2380,1195.4,0.1195
EP002381,1,2381,3684.59,0.3685
EP002382,1,2382,307.21,0.0307
EP002383,1,2383,1124.43,0.1124
EP002384,1,2384,1400.11,0.14
EP002385,1,2385,317.85,0.0318
EP002386,1,2386,499.19,0.0499
EP002387,1,2387,140.17,0.014
EP002388,1,2388,3777.61,0.3778
EP002389,1,2389,227.2,0.0227
EP002390,1,2390,3627.31,0.3627
EP002391,1,2391,1255.72,0.1256
EP002392,1,2392,1160.19,0.116
EP002393,1,2393,94.93,0.0095
EP002394,1,2394,1591.37,0.1591
EP002395,1,2395,735.05,0.0735
EP002396,1,2396,692.34,0.0692
EP002397,1,2397,1161.7,0.1162
EP002398,1,2398,77.37,0.0077
EP002399,1,2399,119.06,0.0119
EP002400,1,2400,21355.5,2.1355
EP002401,1,2401,566.74,0.0567
EP002402,1,2402,50.56,0.0051
EP002403,1,2403,174.54,0.0175
EP002404,1,2404,581.23,0.0581
EP002405,1,2405,1410.39,0.141
EP002406,1,2406,1056.1,0.1056
EP002407,1,2407,710.89,0.0711
EP002408,1,2408,407.81,0.0408
EP002409,1,2409,1612.9,0.1613
EP002410,1,2410,1481.1,0.1481
EP002411,1,2411,116.8,0.0117
EP002412,1,2412,1023.79,0.1024
EP002413,1,2413,530.4,0.053
EP002414,1,2414,2482.33,0.2482
EP002415,1,2415,541.21,0.0541
EP002416,1,2416,5668.19,0.5668
EP002417,1,2417,64.82,0.0065
EP002418,1,2418,35.11,0.0035
EP002419,1,2419,3814.24,0.3814
EP002420,1,2420,6737.08,0.6737
EP002421,1,2421,4987.4,0.4987
EP002422,1,2422,146.74,0.0147
EP002423,1,2423,1366.9,0.1367
EP002424,1,2424,2056.97,0.2057
EP002425,1,2425,3289.19,0.3289
EP002426,1,2426,8455.62,0.8456
EP002427,1,2427,7949.14,0.7949
EP002428,1,2428,144.97,0.0145
EP002429,1,2429,302.18,0.0302
EP002430,1,2430,21552.77,2.1553
EP002431,1,2431,1003.21,0.1003
EP002432,1,2432,17.49,0.0017
EP002433,1,2433,11.96,0.0012
EP002434,1,2434,14.08,0.0014
EP002435,1,2435,406.01,0.0406
EP002436,1,2436,1050.39,0.105
EP002437,1,2437,27906.35,2.7906
EP002438,1,2438,1778.66,0.1779
EP002439,1,2439,2477.98,0.2478
EP002440,1,2440,109.91,0.011
EP002441,1,2441,4185.72,0.4186
EP002442,1,2442,1334.55,0.1335
EP002443,1,2443,91.67,0.0092
EP002444,1,2444,4835.46,0.4835
EP002445,1,2445,5551.24,0.5551
EP002446,1,2446,1178.77,0.1179
EP002447,1,2447,93.17,0.0093
EP002448,1,2448,137.66,0.0138
EP002449,1,2449,92.76,0.0093
EP002450,1,2450,107.75,0.0108
EP002451,1,2451,6898.76,0.6899
EP002452,1,2452,98.31,0.0098
EP002453,1,2453,2507.33,0.2507
EP002454,1,2454,242.33,0.0242
EP002455,1,2455,1228.1,0.1228
EP002456,1,2456,1366.79,0.1367
EP002457,1,2457,632.81,0.0633
EP002458,1,2458,1256.36,0.1256
EP002459,1,2459,595.13,0.0595
EP002460,1,2460,572.81,0.0573
EP002461,1,2461,87.1,0.0087
EP002462,1,2462,76.22,0.0076
EP002463,1,2463,1442.09,0.1442
EP002464,1,2464,580.88,0.0581
EP002465,1,2465,1208.51,0.1209
EP002466,1,2466,1788.41,0.1788
EP002467,1,2467,5308.89,0.5309
EP002468,1,2468,65.82,0.0066
EP002469,1,2469,80.47,0.008
EP002470,1,2470,4345.3,0.4345
EP002471,1,2471,1758.02,0.1758
EP002472,1,2472,63.91,0.0064
EP002473,1,2473,913.54,0.0914
EP002474,1,2474,1205.61,0.1206
EP002475,1,2475,17.16,0.0017
EP002476,1,2476,2952.15,0.2952
EP002477,1,2477,168.57,0.0169
EP002478,1,2478,341.36,0.0341
EP002479,1,2479,120.18,0.012
EP002480,1,2480,9262.18,0.9262
EP002481,1,2481,388.77,0.0389
EP002482,1,2482,799.73,0.08
EP002483,1,2483,384.16,0.0384
EP002484,1,2484,907.73,0.0908
EP002485,1,2485,494.86,0.0495
EP002486,1,2486,410.4,0.041
EP002487,1,2487,5796.57,0.5797
EP002488,1,2488,5532.06,0.5532
EP002489,1,2489,811.84,0.0812
EP002490,1,2490,595.37,0.0595
EP002491,1,2491,1479.17,0.1479
EP002492,1,2492,572.25,0.0572
EP002493,1,2493,300.28,0.03
EP002494,1,2494,101.38,0.0101
EP002495,1,2495,9122.98,0.9123
EP002496,1,2496,104.87,0.0105
EP002497,1,2497,131.77,0.0132
EP002498,1,2498,66.36,0.0066
EP002499,1,2499,10834.62,1.0835
EP002500,1,2500,3931.76,0.3932
EP002501,1,2501,1460.53,0.1461
EP002502,1,2502,2411.03,0.2411
EP002503,1,2503,217.05,0.0217
EP002504,1,2504,5532.49,0.5532
EP002505,1,2505,7650.44,0.765
EP002506,1,2506,204.15,0.0204
EP002507,1,2507,32285.92,3.2286
EP002508,1,2508,782.25,0.0782
EP002509,1,2509,917.77,0.0918
EP002510,1,2510,712.12,0.0712
EP002511,1,2511,966.53,0.0967
EP002512,1,2512,39.8,0.004
EP002513,1,2513,260.23,0.026
EP002514,1,2514,226.89,0.0227
EP002515,1,2515,351.92,0.0352
EP002516,1,2516,657.25,0.0657
EP002517,1,2517,126.42,0.0126
EP002518,1,2518,144.88,0.0145
EP002519,1,2519,188.32,0.0188
EP002520,1,2520,58.39,0.0058
EP002521,1,2521,145.07,0.0145
EP002522,1,2522,5110.33,0.511
EP002523,1,2523,70.24,0.007
EP002524,1,2524,123.94,0.0124
EP002525,1,2525,2067.85,0.2068
EP002526,1,2526,4325.06,0.4325
EP002527,1,2527,53.24,0.0053
EP002528,1,2528,627.7,0.0628
EP002529,1,2529,103.53,0.0104
EP002530,1,2530,482.85,0.0483
EP002531,1,2531,71.76,0.0072
EP002532,1,2532,53.06,0.0053
EP002533,1,2533,11.34,0.0011
EP002534,1,2534,10.08,0.001
EP002535,1,2535,1139.67,0.114
EP002536,1,2536,738.86,0.0739
EP002537,1,2537,93.12,0.0093
EP002538,1,2538,3885.4,0.3885
EP002539,1,2539,49.84,0.005
EP002540,1,2540,277.09,0.0277
EP002541,1,2541,368.27,0.0368
EP002542,1,2542,14.27,0.0014
EP002543,1,2543,6157.17,0.6157
EP002544,1,2544,31.5,0.0031
EP002545,1,2545,5986.63,0.5987
EP002546,1,2546,58.13,0.0058
EP002547,1,2547,1886.06,0.1886
EP002548,1,2548,2355.92,0.2356
EP002549,1,2549,3422.5,0.3422
EP002550,1,2550,26545.64,2.6546
EP002551,1,2551,146.78,0.0147
EP002552,1,2552,68.66,0.0069
EP002553,1,2553,2506.63,0.2507
EP002554,1,2554,18.35,0.0018
EP002555,1,2555,33.66,0.0034
EP002556,1,2556,4211.78,0.4212
EP002557,1,2557,10.9,0.0011
EP002558,1,2558,3430.49,0.343
EP002559,1,2559,1634.92,0.1635
EP002560,1,2560,11140.84,1.1141
EP002561,1,2561,39.29,0.0039
EP002562,1,2562,261.42,0.0261
EP002563,1,2563,4325.9,0.4326
EP002564,1,2564,213.21,0.0213
EP002565,1,2565,3927.58,0.3928
EP002566,1,2566,131.57,0.0132
EP002567,1,2567,15.77,0.0016
EP002568,1,2568,1231.26,0.1231
EP002569,1,2569,45.37,0.0045
EP002570,1,2570,646.11,0.0646
EP002571,1,2571,9382.84,0.9383
EP002572,1,2572,35.38,0.0035
EP002573,1,2573,1011.52,0.1012
EP002574,1,2574,60.39,0.006
EP002575,1,2575,3685.34,0.3685
EP002576,1,2576,5446.65,0.5447
EP002577,1,2577,1554.94,0.1555
EP002578,1,2578,2294.76,0.2295
EP002579,1,2579,1339.88,0.134
EP002580,1,2580,46.07,0.0046
EP002581,1,2581,486.71,0.0487
EP002582,1,2582,3143.86,0.3144
EP002583,1,2583,41.8,0.0042
EP002584,1,2584,1874.89,0.1875
EP002585,1,2585,7346.33,0.7346
EP002586,1,2586,54.62,0.0055
EP002587,1,2587,966.41,0.0966
EP002588,1,2588,424.74,0.0425
EP002589,1,2589,5889.55,0.589
EP002590,1,2590,520.32,0.052
EP002591,1,2591,45186.67,4.5187
EP002592,1,2592,854.47,0.0854
EP002593,1,2593,4184.25,0.4184
EP002594,1,2594,439.53,0.044
EP002595,1,2595,17035.31,1.7035
EP002596,1,2596,64.32,0.0064
EP002597,1,2597,919.32,0.0919
EP002598,1,2598,7127.91,0.7128
EP002599,1,2599,8720.23,0.872
EP002600,1,2600,955.06,0.0955
EP002601,1,2601,448.12,0.0448
EP002602,1,2602,2100.9,0.2101
EP002603,1,2603,619.79,0.062
EP002604,1,2604,674.24,0.0674
EP002605,1,2605,43.72,0.0044
EP002606,1,2606,62.39,0.0062
EP002607,1,2607,233921.86,23.3922
EP002608,1,2608,417.62,0.0418
EP002609,1,2609,66457.63,6.6458
EP002610,1,2610,2575.03,0.2575
EP002611,1,2611,507.56,0.0508
EP002612,1,2612,37.91,0.0038
EP002613,1,2613,89.45,0.0089
EP002614,1,2614,298.34,0.0298
EP002615,1,2615,1908.24,0.1908
EP002616,1,2616,94.55,0.0095
EP002617,1,2617,149.66,0.015
EP002618,1,2618,1045.39,0.1045
EP002619,1,2619,545.55,0.0546
EP002620,1,2620,741.48,0.0741
EP002621,1,2621,2419.77,0.242
EP002622,1,2622,4486.41,0.4486
EP002623,1,2623,419.45,0.0419
EP002624,1,2624,42075.57,4.2076
EP002625,1,2625,5020.76,0.5021
EP002626,1,2626,471.82,0.0472
EP002627,1,2627,231.25,0.0231
EP002628,1,2628,232.23,0.0232
EP002629,1,2629,18515.78,1.8516
EP002630,1,2630,1243.69,0.1244
EP002631,1,2631,4469.61,0.447
EP002632,1,2632,4612.92,0.4613
EP002633,1,2633,1361.99,0.1362
EP002634,1,2634,1011.28,0.1011
EP002635,1,2635,385.35,0.0385
EP002636,1,2636,412.37,0.0412
EP002637,1,2637,3849.49,0.3849
EP002638,1,2638,289.5,0.029
EP002639,1,2639,1242.13,0.1242
EP002640,1,2640,1214.75,0.1215
EP002641,1,2641,315.52,0.0316
EP002642,1,2642,238.03,0.0238
EP002643,1,2643,566.58,0.0567
EP002644,1,2644,1096.99,0.1097
EP002645,1,2645,157.97,0.0158
EP002646,1,2646,169.51,0.017
EP002647,1,2647,78.28,0.0078
EP002648,1,2648,128199.14,12.8199
EP002649,1,2649,260.47,0.026
EP002650,1,2650,29820.7,2.9821
EP002651,1,2651,30247.85,3.0248
EP002652,1,2652,205.87,0.0206
EP002653,1,2653,13115.52,1.3116
EP002654,1,2654,3501.26,0.3501
EP002655,1,2655,1367.17,0.1367
EP002656,1,2656,4764.55,0.4765
EP002657,1,2657,173.1,0.0173
EP002658,1,2658,398.04,0.0398
EP002659,1,2659,159.96,0.016
EP002660,1,2660,167.58,0.0168
EP002661,1,2661,36.29,0.0036
EP002662,1,2662,870.54,0.0871
EP002663,1,2663,2197.1,0.2197
EP002664,1,2664,165.34,0.0165
EP002665,1,2665,9217.26,0.9217
EP002666,1,2666,18002.39,1.8002
EP002667,1,2667,579.75,0.058
EP002668,1,2668,12568.07,1.2568
EP002669,1,2669,4667.53,0.4668
EP002670,1,2670,3030.82,0.3031
EP002671,1,2671,398.89,0.0399
EP002672,1,2672,81.3,0.0081
EP002673,1,2673,1238.07,0.1238
EP002674,1,2674,9143.23,0.9143
EP002675,1,2675,296.69,0.0297
EP002676,1,2676,2368.76,0.2369
EP002677,1,2677,29.76,0.003
EP002678,1,2678,16.14,0.0016
EP002679,1,2679,301.36,0.0301
EP002680,1,2680,1201.74,0.1202
EP002681,1,2681,28.99,0.0029
EP002682,1,2682,133.4,0.0133
EP002683,1,2683,7016.8,0.7017
EP002684,1,2684,1830.93,0.1831
EP002685,1,2685,604.82,0.0605
EP002686,1,2686,4064.35,0.4064
EP002687,1,2687,150.42,0.015
EP002688,1,2688,8578.09,0.8578
EP002689,1,2689,337.52,0.0338
EP002690,1,2690,527.04,0.0527
EP002691,1,2691,74.49,0.0074
EP002692,1,2692,1636.46,0.1636
EP002693,1,2693,269.59,0.027
EP002694,1,2694,1372.89,0.1373
EP002695,1,2695,56.54,0.0057
EP002696,1,2696,4001.56,0.4002
EP002697,1,2697,934839.93,93.484
EP002698,1,2698,210.56,0.0211
EP002699,1,2699,183.24,0.0183
EP002700,1,2700,933.84,0.0934
EP002701,1,2701,2186.15,0.2186
EP002702,1,2702,137.64,0.0138
EP002703,1,2703,101.36,0.0101
EP002704,1,2704,25758.92,2.5759
EP002705,1,2705,2121.22,0.2121
EP002706,1,2706,1484.78,0.1485
EP002707,1,2707,135734.77,13.5735
EP002708,1,2708,13384.21,1.3384
EP002709,1,2709,410.73,0.0411
EP002710,1,2710,23.26,0.0023
EP002711,1,2711,1134.35,0.1134
EP002712,1,2712,378.27,0.0378
EP002713,1,2713,188.72,0.0189
EP002714,1,2714,914.78,0.0915
EP002715,1,2715,563.68,0.0564
EP002716,1,2716,849.43,0.0849
EP002717,1,2717,68.03,0.0068
EP002718,1,2718,2939.87,0.294
EP002719,1,2719,1350.16,0.135
EP002720,1,2720,110.69,0.0111
EP002721,1,2721,4128.12,0.4128
EP002722,1,2722,294.16,0.0294
EP002723,1,2723,43.86,0.0044
EP002724,1,2724,53.42,0.0053
EP002725,1,2725,808.85,0.0809
EP002726,1,2726,698.02,0.0698
EP002727,1,2727,2244.82,0.2245
EP002728,1,2728,157.91,0.0158
EP002729,1,2729,26994.82,2.6995
EP002730,1,2730,1876.75,0.1877
EP002731,1,2731,201.02,0.0201
EP002732,1,2732,1757.52,0.1758
EP002733,1,2733,256.53,0.0257
EP002734,1,2734,927.76,0.0928
EP002735,1,2735,382.68,0.0383
EP002736,1,2736,91.51,0.0092
EP002737,1,2737,286.12,0.0286
EP002738,1,2738,690.04,0.069
EP002739,1,2739,111.42,0.0111
EP002740,1,2740,1147.75,0.1148
EP002741,1,2741,14.18,0.0014
EP002742,1,2742,1678.55,0.1679
EP002743,1,2743,62.51,0.0063
EP002744,1,2744,68.53,0.0069
EP002745,1,2745,1263.63,0.1264
EP002746,1,2746,942.02,0.0942
EP002747,1,2747,260.25,0.026
EP002748,1,2748,405.9,0.0406
EP002749,1,2749,106.73,0.0107
EP002750,1,2750,49.87,0.005
EP002751,1,2751,218.4,0.0218
EP002752,1,2752,3239.51,0.324
EP002753,1,2753,857.57,0.0858
EP002754,1,2754,42.75,0.0043
EP002755,1,2755,5609.94,0.561
EP002756,1,2756,15142.36,1.5142
EP002757,1,2757,999.19,0.0999
EP002758,1,2758,68.96,0.0069
EP002759,1,2759,39.53,0.004
EP002760,1,2760,2534.51,0.2535
EP002761,1,2761,2726.35,0.2726
EP002762,1,2762,313211.11,31.3211
EP002763,1,2763,299.1,0.0299
EP002764,1,2764,3113.11,0.3113
EP002765,1,2765,338.87,0.0339
EP002766,1,2766,32.4,0.0032
EP002767,1,2767,1977.81,0.1978
EP002768,1,2768,33384.87,3.3385
EP002769,1,2769,7409.67,0.741
EP002770,1,2770,14356.92,1.4357
EP002771,1,2771,646.09,0.0646
EP002772,1,2772,784.4,0.0784
EP002773,1,2773,222.99,0.0223
EP002774,1,2774,311.81,0.0312
EP002775,1,2775,140.35,0.014
EP002776,1,2776,111.49,0.0111
EP002777,1,2777,163.53,0.0164
EP002778,1,2778,84.87,0.0085
EP002779,1,2779,743.9,0.0744
EP002780,1,2780,438.82,0.0439
EP002781,1,2781,3084.84,0.3085
EP002782,1,2782,3102.88,0.3103
EP002783,1,2783,45.97,0.0046
EP002784,1,2784,513.09,0.0513
EP002785,1,2785,676.95,0.0677
EP002786,1,2786,151.74,0.0152
EP002787,1,2787,5166.41,0.5166
EP002788,1,2788,5157.3,0.5157
EP002789,1,2789,304.53,0.0305
EP002790,1,2790,4527.15,0.4527
EP002791,1,2791,117.93,0.0118
EP002792,1,2792,4813.23,0.4813
EP002793,1,2793,287.27,0.0287
EP002794,1,2794,280.03,0.028
EP002795,1,2795,164.49,0.0164
EP002796,1,2796,436.74,0.0437
EP002797,1,2797,20.21,0.002
EP002798,1,2798,202.23,0.0202
EP002799,1,2799,536.84,0.0537
EP002800,1,2800,555.38,0.0555
EP002801,1,2801,91.73,0.0092
EP002802,1,2802,1754.15,0.1754
EP002803,1,2803,6862.21,0.6862
EP002804,1,2804,309.03,0.0309
EP002805,1,2805,1478.98,0.1479
EP002806,1,2806,248.39,0.0248
EP002807,1,2807,107.57,0.0108
EP002808,1,2808,174.73,0.0175
EP002809,1,2809,282.31,0.0282
EP002810,1,2810,809.83,0.081
EP002811,1,2811,114.05,0.0114
EP002812,1,2812,101.1,0.0101
EP002813,1,2813,259.38,0.0259
EP002814,1,2814,3400.74,0.3401
EP002815,1,2815,75957.39,7.5957
EP002816,1,2816,295.59,0.0296
EP002817,1,2817,1341.14,0.1341
EP002818,1,2818,495.18,0.0495
EP002819,1,2819,449.96,0.045
EP002820,1,2820,411.21,0.0411
EP002821,1,2821,1657.34,0.1657
EP002822,1,2822,9210.58,0.9211
EP002823,1,2823,274.52,0.0275
EP002824,1,2824,231.1,0.0231
EP002825,1,2825,27817.18,2.7817
EP002826,1,2826,183.93,0.0184
EP002827,1,2827,982.11,0.0982
EP002828,1,2828,429270.68,42.9271
EP002829,1,2829,267.95,0.0268
EP002830,1,2830,1895.86,0.1896
EP002831,1,2831,5064.72,0.5065
EP002832,1,2832,97.51,0.0098
EP002833,1,2833,280.25,0.028
EP002834,1,2834,2586.9,0.2587
EP002835,1,2835,230.28,0.023
EP002836,1,2836,7806.54,0.7807
EP002837,1,2837,743.95,0.0744
EP002838,1,2838,292.29,0.0292
EP002839,1,2839,11448.19,1.1448
EP002840,1,2840,1209.94,0.121
EP002841,1,2841,576.45,0.0576
EP002842,1,2842,801.24,0.0801
EP002843,1,2843,18627.56,1.8628
EP002844,1,2844,2142.62,0.2143
EP002845,1,2845,78.21,0.0078
EP002846,1,2846,2300.68,0.2301
EP002847,1,2847,7385.44,0.7385
EP002848,1,2848,46.5,0.0046
EP002849,1,2849,1882.41,0.1882
EP002850,1,2850,2273.21,0.2273
EP002851,1,2851,782.76,0.0783
EP002852,1,2852,685.59,0.0686
EP002853,1,2853,489.81,0.049
EP002854,1,2854,3064.67,0.3065
EP002855,1,2855,30722.89,3.0723
EP002856,1,2856,388.82,0.0389
EP002857,1,2857,168.59,0.0169
EP002858,1,2858,518.26,0.0518
EP002859,1,2859,728.32,0.0728
EP002860,1,2860,108867.06,10.8867
EP002861,1,2861,4995.36,0.4995
EP002862,1,2862,529.47,0.0529
EP002863,1,2863,32.99,0.0033
EP002864,1,2864,3561.1,0.3561
EP002865,1,2865,218.26,0.0218
EP002866,1,2866,1341.25,0.1341
EP002867,1,2867,2278.13,0.2278
EP002868,1,2868,28098.48,2.8098
EP002869,1,2869,185.77,0.0186
EP002870,1,2870,23.5,0.0024
EP002871,1,2871,1820.98,0.1821
EP002872,1,2872,1563.98,0.1564
EP002873,1,2873,6.83,0.0007
EP002874,1,2874,169.42,0.0169
EP002875,1,2875,124.36,0.0124
EP002876,1,2876,19.08,0.0019
EP002877,1,2877,103.62,0.0104
EP002878,1,2878,2087.17,0.2087
EP002879,1,2879,3238.75,0.3239
EP002880,1,2880,5501.8,0.5502
EP002881,1,2881,218.23,0.0218
EP002882,1,2882,9759.78,0.976
EP002883,1,2883,36.26,0.0036
EP002884,1,2884,119.02,0.0119
EP002885,1,2885,4504.91,0.4505
EP002886,1,2886,1163.19,0.1163
EP002887,1,2887,374.59,0.0375
EP002888,1,2888,960.04,0.096
EP002889,1,2889,88.24,0.0088
EP002890,1,2890,3392.34,0.3392
EP002891,1,2891,65.68,0.0066
EP002892,1,2892,339.87,0.034
EP002893,1,2893,993.8,0.0994
EP002894,1,2894,7408.5,0.7409
EP002895,1,2895,286.52,0.0287
EP002896,1,2896,558.2,0.0558
EP002897,1,2897,9929.65,0.993
EP002898,1,2898,126.37,0.0126
EP002899,1,2899,195.21,0.0195
EP002900,1,2900,12840.44,1.284
EP002901,1,2901,74.27,0.0074
EP002902,1,2902,6924.82,0.6925
EP002903,1,2903,199.95,0.02
EP002904,1,2904,356.4,0.0356
EP002905,1,2905,1921.2,0.1921
EP002906,1,2906,108.27,0.0108
EP002907,1,2907,17093.0,1.7093
EP002908,1,2908,149.51,0.015
EP002909,1,2909,52.1,0.0052
EP002910,1,2910,2476.74,0.2477
EP002911,1,2911,1498.69,0.1499
EP002912,1,2912,73.48,0.0073
EP002913,1,2913,39.17,0.0039
EP002914,1,2914,9051.9,0.9052
EP002915,1,2915,5152.65,0.5153
EP002916,1,2916,4219.86,0.422
EP002917,1,2917,1461.8,0.1462
EP002918,1,2918,2704.61,0.2705
EP002919,1,2919,4486.18,0.4486
EP002920,1,2920,154.91,0.0155
EP002921,1,2921,7.89,0.0008
EP002922,1,2922,8.77,0.0009
EP002923,1,2923,7.76,0.0008
EP002924,1,2924,3135.98,0.3136
EP002925,1,2925,9.82,0.001
EP002926,1,2926,3551.49,0.3551
EP002927,1,2927,1971.13,0.1971
EP002928,1,2928,22.87,0.0023
EP002929,1,2929,67.02,0.0067
EP002930,1,2930,1016.69,0.1017
EP002931,1,2931,118.19,0.0118
EP002932,1,2932,433.84,0.0434
EP002933,1,2933,2628.1,0.2628
EP002934,1,2934,3949.32,0.3949
EP002935,1,2935,8.81,0.0009
EP002936,1,2936,6.1,0.0006
EP002937,1,2937,11.57,0.0012
EP002938,1,2938,25.86,0.0026
EP002939,1,2939,1223.7,0.1224
EP002940,1,2940,1590.85,0.1591
EP002941,1,2941,1759.4,0.1759
EP002942,1,2942,460.6,0.0461
EP002943,1,2943,250.54,0.0251
EP002944,1,2944,237.53,0.0238
EP002945,1,2945,3795.79,0.3796
EP002946,1,2946,10163.49,1.0163
EP002947,1,2947,46.05,0.0046
EP002948,1,2948,1321.0,0.1321
EP002949,1,2949,1068.06,0.1068
EP002950,1,2950,376.49,0.0376
EP002951,1,2951,362.71,0.0363
EP002952,1,2952,240.33,0.024
EP002953,1,2953,2569.76,0.257
EP002954,1,2954,293.64,0.0294
EP002955,1,2955,8467.76,0.8468
EP002956,1,2956,658.65,0.0659
EP002957,1,2957,52.2,0.0052
EP002958,1,2958,173.92,0.0174
EP002959,1,2959,76497.08,7.6497
EP002960,1,2960,416.45,0.0416
EP002961,1,2961,892.86,0.0893
EP002962,1,2962,1289.89,0.129
EP002963,1,2963,8038.79,0.8039
EP002964,1,2964,54.48,0.0054
EP002965,1,2965,265.43,0.0265
EP002966,1,2966,480.08,0.048
EP002967,1,2967,570.45,0.057
EP002968,1,2968,2819.57,0.282
EP002969,1,2969,1477.31,0.1477
EP002970,1,2970,818.45,0.0818
EP002971,1,2971,5780.19,0.578
EP002972,1,2972,2229.79,0.223
EP002973,1,2973,173.93,0.0174
EP002974,1,2974,73.13,0.0073
EP002975,1,2975,4448.21,0.4448
EP002976,1,2976,22762.89,2.2763
EP002977,1,2977,1068.65,0.1069
EP002978,1,2978,11135.9,1.1136
EP002979,1,2979,319.88,0.032
EP002980,1,2980,3421.49,0.3421
EP002981,1,2981,109.83,0.011
EP002982,1,2982,173.94,0.0174
EP002983,1,2983,194.18,0.0194
EP002984,1,2984,70.12,0.007
EP002985,1,2985,5405.21,0.5405
EP002986,1,2986,173.93,0.0174
EP002987,1,2987,2682.06,0.2682
EP002988,1,2988,5249.91,0.525
EP002989,1,2989,95.08,0.0095
EP002990,1,2990,36.31,0.0036
EP002991,1,2991,9982.4,0.9982
EP002992,1,2992,173.93,0.0174
EP002993,1,2993,36.47,0.0036
EP002994,1,2994,173.92,0.0174
EP002995,1,2995,217.16,0.0217
EP002996,1,2996,787.31,0.0787
EP002997,1,2997,5958.43,0.5958
EP002998,1,2998,1583.78,0.1584
EP002999,1,2999,113.28,0.0113
EP003000,1,3000,961.93,0.0962
EP003001,1,3001,200.67,0.0201
EP003002,1,3002,458.31,0.0458
EP003003,1,3003,6697.6,0.6698
EP003004,1,3004,140.78,0.0141
EP003005,1,3005,173.92,0.0174
EP003006,1,3006,2968.0,0.2968
EP003007,1,3007,296.96,0.0297
EP003008,1,3008,81.34,0.0081
EP003009,1,3009,36.29,0.0036
EP003010,1,3010,44.78,0.0045
EP003011,1,3011,8310.86,0.8311
EP003012,1,3012,248.4,0.0248
EP003013,1,3013,96.08,0.0096
EP003014,1,3014,173.93,0.0174
EP003015,1,3015,3503.02,0.3503
EP003016,1,3016,43.38,0.0043
EP003017,1,3017,41.63,0.0042
EP003018,1,3018,6105.48,0.6105
EP003019,1,3019,38.36,0.0038
EP003020,1,3020,910.21,0.091
EP003021,1,3021,119.21,0.0119
EP003022,1,3022,27.87,0.0028
EP003023,1,3023,469.38,0.0469
EP003024,1,3024,173.94,0.0174
EP003025,1,3025,125.18,0.0125
EP003026,1,3026,7740.98,0.7741
EP003027,1,3027,115.84,0.0116
EP003028,1,3028,3888.67,0.3889
EP003029,1,3029,275.34,0.0275
EP003030,1,3030,3306.54,0.3307
EP003031,1,3031,2701.78,0.2702
EP003032,1,3032,267.92,0.0268
EP003033,1,3033,126.53,0.0127
EP003034,1,3034,185.93,0.0186
EP003035,1,3035,101.53,0.0102
EP003036,1,3036,585.78,0.0586
EP003037,1,3037,111.53,0.0112
EP003038,1,3038,14620.95,1.4621
EP003039,1,3039,132.8,0.0133
EP003040,1,3040,3528.05,0.3528
EP003041,1,3041,2576.13,0.2576
EP003042,1,3042,6193.76,0.6194
EP003043,1,3043,2618.9,0.2619
EP003044,1,3044,62.88,0.0063
EP003045,1,3045,245.69,0.0246
EP003046,1,3046,225.07,0.0225
EP003047,1,3047,430.89,0.0431
EP003048,1,3048,1384.17,0.1384
EP003049,1,3049,680.18,0.068
EP003050,1,3050,2475.97,0.2476
EP003051,1,3051,587.33,0.0587
EP003052,1,3052,1720.6,0.1721
EP003053,1,3053,10230.37,1.023
EP003054,1,3054,2083.77,0.2084
EP003055,1,3055,2219.38,0.2219
EP003056,1,3056,1673.9,0.1674
EP003057,1,3057,1893.93,0.1894
EP003058,1,3058,3020.57,0.3021
EP003059,1,3059,195.63,0.0196
EP003060,1,3060,204.05,0.0204
EP003061,1,3061,1106.18,0.1106
EP003062,1,3062,66.1,0.0066
EP003063,1,3063,648.22,0.0648
EP003064,1,3064,154.96,0.0155
EP003065,1,3065,125.44,0.0125
EP003066,1,3066,115.62,0.0116
EP003067,1,3067,509.72,0.051
EP003068,1,3068,1698.86,0.1699
EP003069,1,3069,13527.82,1.3528
EP003070,1,3070,215.37,0.0215
EP003071,1,3071,139.77,0.014
EP003072,1,3072,767.85,0.0768
EP003073,1,3073,92.58,0.0093
EP003074,1,3074,2568.25,0.2568
