id_espacio_publico,id_fuente,parte_original,area_m2,area_ha
EP000173,1,173,1346.5,0.1347
EP000174,1,174,54254.43,5.4254
EP000175,1,175,25047.52,2.5048
EP000176,1,176,160.6,0.0161
EP000177,1,177,1332.74,0.1333
EP000178,1,178,727.06,0.0727
EP000179,1,179,300.85,0.0301
EP000180,1,180,4288.1,0.4288
EP000181,1,181,3449.94,0.345
EP000182,1,182,26901.51,2.6902
EP000183,1,183,10851.93,1.0852
EP000184,1,184,152.54,0.0153
EP000185,1,185,870.84,0.0871
EP000186,1,186,1763.15,0.1763
EP000187,1,187,8618.35,0.8618
EP000188,1,188,1735.86,0.1736
EP000189,1,189,56.24,0.0056
EP000190,1,190,519.63,0.052
EP000191,1,191,2694.8,0.2695
EP000192,1,192,2628.26,0.2628
EP000193,1,193,6113.48,0.6113
EP000194,1,194,75758.45,7.5758
EP000195,1,195,9986.98,0.9987
EP000196,1,196,5164.31,0.5164
EP000197,1,197,164.04,0.0164
EP000198,1,198,279.57,0.028
EP000199,1,199,2261.96,0.2262
EP000200,1,200,1510.64,0.1511
EP000201,1,201,4805.6,0.4806
EP000202,1,202,221.7,0.0222
EP000203,1,203,3856.06,0.3856
EP000204,1,204,446.39,0.0446
EP000205,1,205,1002.59,0.1003
EP000206,1,206,215039.92,21.504
EP000207,1,207,3828.12,0.3828
EP000208,1,208,84923.08,8.4923
EP000209,1,209,140.65,0.0141
EP000210,1,210,109.98,0.011
EP000211,1,211,18883.68,1.8884
EP000212,1,212,196.73,0.0197
EP000213,1,213,141.68,0.0142
EP000214,1,214,8619.41,0.8619
EP000215,1,215,14951.94,1.4952
EP000216,1,216,1314.11,0.1314
EP000217,1,217,4786.27,0.4786
EP000218,1,218,3764.58,0.3765
EP000219,1,219,13036.43,1.3036
EP000220,1,220,4425.98,0.4426
EP000221,1,221,75.24,0.0075
EP000222,1,222,5803.03,0.5803
EP000223,1,223,444.58,0.0445
EP000224,1,224,2149.98,0.215
EP000225,1,225,10208.47,1.0208
EP000226,1,226,2582.64,0.2583
EP000227,1,227,851.03,0.0851
EP000228,1,228,11385.71,1.1386
EP000229,1,229,393.17,0.0393
EP000230,1,230,54.15,0.0054
EP000231,1,231,153.07,0.0153
EP000232,1,232,120.2,0.012
EP000233,1,233,178.46,0.0178
EP000234,1,234,22473.21,2.2473
EP000235,1,235,2006.64,0.2007
EP000236,1,236,972.82,0.0973
EP000237,1,237,61195.02,6.1195
EP000238,1,238,277478.6,27.7479
EP000239,1,239,19399.83,1.94
EP000240,1,240,321.74,0.0322
EP000241,1,241,2953.72,0.2954
EP000242,1,242,313.03,0.0313
EP000243,1,243,281.07,0.0281
EP000244,1,244,380.14,0.038
EP000245,1,245,383.09,0.0383
EP000246,1,246,250.08,0.025
EP000247,1,247,22139.43,2.2139
EP000248,1,248,25286.51,2.5287
EP000249,1,249,243.13,0.0243
EP000250,1,250,787.11,0.0787
EP000251,1,251,7303.11,0.7303
EP000252,1,252,53.63,0.0054
EP000253,1,253,47.01,0.0047
EP000254,1,254,89.03,0.0089
EP000255,1,255,220.85,0.0221
EP000256,1,256,26976.0,2.6976
EP000257,1,257,28928.21,2.8928
EP000258,1,258,4167.33,0.4167
EP000259,1,259,660.88,0.0661
EP000260,1,260,483.32,0.0483
EP000261,1,261,18015.38,1.8015
EP000262,1,262,1925.97,0.1926
EP000263,1,263,4613.17,0.4613
EP000264,1,264,336.95,0.0337
EP000265,1,265,165.15,0.0165
EP000266,1,266,275.96,0.0276
EP000267,1,267,120.1,0.012
EP000268,1,268,33065.66,3.3066
EP000269,1,269,2241.77,0.2242
EP000270,1,270,49430.25,4.943
EP000271,1,271,6763.42,0.6763
EP000272,1,272,3551.47,0.3551
EP000273,1,273,11914.09,1.1914
EP000274,1,274,3844.78,0.3845
EP000275,1,275,1899.8,0.19
EP000276,1,276,1127.37,0.1127
EP000277,1,277,2421.36,0.2421
EP000278,1,278,10352.96,1.0353
EP000279,1,279,4954.34,0.4954
EP000280,1,280,211140.59,21.1141
EP000281,1,281,5822.61,0.5823
EP000282,1,282,931.32,0.0931
EP000283,1,283,14388.49,1.4388
EP000284,1,284,1133.61,0.1134
EP000285,1,285,940.32,0.094
EP000286,1,286,3065.19,0.3065
EP000287,1,287,6058.55,0.6059
EP000288,1,288,1213.03,0.1213
EP000289,1,289,1946.12,0.1946
EP000290,1,290,79.38,0.0079
EP000291,1,291,18.19,0.0018
EP000292,1,292,204.95,0.0205
EP000293,1,293,251.5,0.0252
EP000294,1,294,1164.85,0.1165
EP000295,1,295,460533.71,46.0534
EP000296,1,296,823.63,0.0824
EP000297,1,297,12096.06,1.2096
EP000298,1,298,853.87,0.0854
EP000299,1,299,606.54,0.0607
EP000300,1,300,10612.31,1.0612
EP000301,1,301,2490.23,0.249
EP000302,1,302,4942.95,0.4943
EP000303,1,303,189.32,0.0189
EP000304,1,304,1473.9,0.1474
EP000305,1,305,1416.8,0.1417
EP000306,1,306,620.63,0.0621
EP000307,1,307,4703.55,0.4704
EP000308,1,308,26042.43,2.6042
EP000309,1,309,56.04,0.0056
EP000310,1,310,5079.63,0.508
EP000311,1,311,572.48,0.0572
EP000312,1,312,62.97,0.0063
EP000313,1,313,26462.34,2.6462
EP000314,1,314,2090.67,0.2091
EP000315,1,315,75.0,0.0075
EP000316,1,316,89.24,0.0089
EP000317,1,317,76.86,0.0077
EP000318,1,318,3519.76,0.352
EP000319,1,319,158417.22,15.8417
EP000320,1,320,70.35,0.007
EP000321,1,321,90.16,0.009
EP000322,1,322,39.76,0.004
EP000323,1,323,77.21,0.0077
EP000324,1,324,316.18,0.0316
EP000325,1,325,37.77,0.0038
EP000326,1,326,58.29,0.0058
EP000327,1,327,134.39,0.0134
EP000328,1,328,70.02,0.007
EP000329,1,329,24.01,0.0024
EP000330,1,330,144.28,0.0144
EP000331,1,331,16229.03,1.6229
EP000332,1,332,133.27,0.0133
EP000333,1,333,333.41,0.0333
EP000334,1,334,401.71,0.0402
EP000335,1,335,4211.62,0.4212
EP000336,1,336,27.85,0.0028
EP000337,1,337,11.92,0.0012
EP000338,1,338,5709.04,0.5709
EP000339,1,339,5.81,0.0006
EP000340,1,340,859.33,0.0859
EP000341,1,341,9421.59,0.9422
EP000342,1,342,3574.58,0.3575
EP000343,1,343,6407.17,0.6407
EP000344,1,344,1890.38,0.189
EP000345,1,345,296.19,0.0296
EP000346,1,346,69.43,0.0069
EP000347,1,347,2163.2,0.2163
EP000348,1,348,71.74,0.0072
EP000349,1,349,61.58,0.0062
EP000350,1,350,14784.83,1.4785
EP000351,1,351,12953.64,1.2954
EP000352,1,352,691.34,0.0691
EP000353,1,353,32098.36,3.2098
EP000354,1,354,13230.2,1.323
EP000355,1,355,1942.15,0.1942
EP000356,1,356,455.74,0.0456
EP000357,1,357,804.89,0.0805
EP000358,1,358,15543.5,1.5543
EP000359,1,359,7950.79,0.7951
EP000360,1,360,2589.28,0.2589
EP000361,1,361,4061.88,0.4062
EP000362,1,362,508.16,0.0508
EP000363,1,363,84.77,0.0085
EP000364,1,364,172.04,0.0172
EP000365,1,365,8325.08,0.8325
EP000366,1,366,2726.78,0.2727
EP000367,1,367,100.93,0.0101
EP000368,1,368,7918.08,0.7918
EP000369,1,369,783.19,0.0783
EP000370,1,370,145.16,0.0145
EP000371,1,371,610.02,0.061
EP000372,1,372,50.53,0.0051
EP000373,1,373,46.77,0.0047
EP000374,1,374,94.68,0.0095
EP000375,1,375,93420.47,9.342
EP000376,1,376,23816.53,2.3817
EP000377,1,377,460.15,0.046
EP000378,1,378,444.46,0.0444
EP000379,1,379,43.68,0.0044
EP000380,1,380,5523.37,0.5523
EP000381,1,381,442.78,0.0443
EP000382,1,382,4188.92,0.4189
EP000383,1,383,319.39,0.0319
EP000384,1,384,861.85,0.0862
EP000385,1,385,49.77,0.005
EP000386,1,386,606.01,0.0606
EP000387,1,387,954.45,0.0954
EP000388,1,388,38755.17,3.8755
EP000389,1,389,114844.59,11.4845
EP000390,1,390,9243.71,0.9244
EP000391,1,391,770.43,0.077
EP000392,1,392,1339.95,0.134
EP000393,1,393,1004.37,0.1004
EP000394,1,394,4520.24,0.452
EP000395,1,395,11536.89,1.1537
EP000396,1,396,8588.24,0.8588
EP000397,1,397,3026.95,0.3027
EP000398,1,398,6703.84,0.6704
EP000399,1,399,10939.99,1.094
EP000400,1,400,2408.23,0.2408
EP000401,1,401,2441.28,0.2441
EP000402,1,402,12744.36,1.2744
EP000403,1,403,1474.81,0.1475
EP000404,1,404,101171.92,10.1172
EP000405,1,405,8308.25,0.8308
EP000406,1,406,58532.85,5.8533
EP000407,1,407,1829.21,0.1829
EP000408,1,408,31106.22,3.1106
EP000409,1,409,568.76,0.0569
EP000410,1,410,2717.54,0.2718
EP000411,1,411,6481.47,0.6481
EP000412,1,412,703.8,0.0704
EP000413,1,413,2013.28,0.2013
EP000414,1,414,6318.39,0.6318
EP000415,1,415,760.29,0.076
EP000416,1,416,930.32,0.093
EP000417,1,417,1354.74,0.1355
EP000418,1,418,6048.74,0.6049
EP000419,1,419,2984.72,0.2985
EP000420,1,420,1495.04,0.1495
EP000421,1,421,37278.15,3.7278
EP000422,1,422,427.11,0.0427
EP000423,1,423,1697.08,0.1697
EP000424,1,424,67.94,0.0068
EP000425,1,425,80.32,0.008
EP000426,1,426,14.62,0.0015
EP000427,1,427,43.15,0.0043
EP000428,1,428,423.95,0.0424
EP000429,1,429,515.02,0.0515
EP000430,1,430,1388.82,0.1389
EP000431,1,431,73.03,0.0073
EP000432,1,432,14.76,0.0015
EP000433,1,433,173.0,0.0173
EP000434,1,434,970.53,0.0971
EP000435,1,435,171.28,0.0171
EP000436,1,436,164.6,0.0165
EP000437,1,437,589.32,0.0589
EP000438,1,438,85.82,0.0086
EP000439,1,439,315.5,0.0316
EP000440,1,440,192.58,0.0193
EP000441,1,441,128.82,0.0129
EP000442,1,442,97.41,0.0097
EP000443,1,443,24.65,0.0025
EP000444,1,444,133.08,0.0133
EP000445,1,445,55.36,0.0055
EP000446,1,446,98.19,0.0098
EP000447,1,447,302.64,0.0303
EP000448,1,448,130.75,0.0131
EP000449,1,449,4626.23,0.4626
EP000450,1,450,270.76,0.0271
EP000451,1,451,407.75,0.0408
EP000452,1,452,12.49,0.0012
EP000453,1,453,20.7,0.0021
EP000454,1,454,12.58,0.0013
EP000455,1,455,10.44,0.001
EP000456,1,456,611.11,0.0611
EP000457,1,457,120.18,0.012
EP000458,1,458,13066.32,1.3066
