Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Sector,Alcance,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
464111,Farmacias sin minisúper,Farmacia sin minisúper,No especificado,Complementario,Código SCIAN de farmacia,5558,2018,2020-11
464112,Farmacias con minisúper,Farmacia con minisúper,No especificado,Complementario,Código SCIAN de farmacia,862,2018,2020-11
621111,Consultorios de medicina general del sector privado,Consultorio de medicina general,Privado,Principal,Prefijo SCIAN 621 o 622,3167,2018,2020-11
621112,Consultorios de medicina general del sector público,Consultorio de medicina general,Público,Principal,Prefijo SCIAN 621 o 622,162,2018,2020-11
621113,Consultorios de medicina especializada del sector privado,Consultorio de medicina especializada,Privado,Principal,Prefijo SCIAN 621 o 622,3110,2018,2020-11
621114,Consultorios de medicina especializada del sector público,Consultorio de medicina especializada,Público,Principal,Prefijo SCIAN 621 o 622,13,2018,2020-11
621115,Clínicas de consultorios médicos del sector privado,Clínica de consultorios médicos,Privado,Principal,Prefijo SCIAN 621 o 622,231,2018,2020-11
621116,Clínicas de consultorios médicos del sector público,Clínica de consultorios médicos,Público,Principal,Prefijo SCIAN 621 o 622,223,2018,2020-11
621211,Consultorios dentales del sector privado,Consultorio dental,Privado,Principal,Prefijo SCIAN 621 o 622,7318,2018,2020-11
621212,Consultorios dentales del sector público,Consultorio dental,Público,Principal,Prefijo SCIAN 621 o 622,52,2018,2020-11
621311,Consultorios de quiropráctica del sector privado,Quiropráctica,Privado,Principal,Prefijo SCIAN 621 o 622,255,2018,2020-11
621320,Consultorios de optometría,Optometría,No especificado,Principal,Prefijo SCIAN 621 o 622,511,2018,2020-11
621331,Consultorios de psicología del sector privado,Psicología,Privado,Principal,Prefijo SCIAN 621 o 622,728,2018,2020-11
621332,Consultorios de psicología del sector público,Psicología,Público,Principal,Prefijo SCIAN 621 o 622,20,2018,2020-11
621341,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje","Audiología y terapia ocupacional, física o del lenguaje",Privado,Principal,Prefijo SCIAN 621 o 622,377,2018,2020-11
