Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Sector,Alcance,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
621342,"Consultorios del sector público de audiología y de terapia ocupacional, física y del lenguaje","Audiología y terapia ocupacional, física o del lenguaje",Público,Principal,Prefijo SCIAN 621 o 622,24,2018,2020-11
621391,Consultorios de nutriólogos y dietistas del sector privado,Nutrición y dietética,Privado,Principal,Prefijo SCIAN 621 o 622,260,2018,2020-11
621392,Consultorios de nutriólogos y dietistas del sector público,Nutrición y dietética,Público,Principal,Prefijo SCIAN 621 o 622,1,2018,2020-11
621398,Otros consultorios del sector privado para el cuidado de la salud,Otro consultorio para el cuidado de la salud,Privado,Principal,Prefijo SCIAN 621 o 622,1475,2018,2020-11
621399,Otros consultorios del sector público para el cuidado de la salud,Otro consultorio para el cuidado de la salud,Público,Principal,Prefijo SCIAN 621 o 622,16,2018,2020-11
621411,Centros de planificación familiar del sector privado,Centro de planificación familiar,Privado,Principal,Prefijo SCIAN 621 o 622,32,2018,2020-11
621412,Centros de planificación familiar del sector público,Centro de planificación familiar,Público,Principal,Prefijo SCIAN 621 o 622,1,2018,2020-11
621421,Centros del sector privado de atención médica externa para enfermos mentales y adictos,Atención ambulatoria de salud mental y adicciones,Privado,Principal,Prefijo SCIAN 621 o 622,52,2018,2020-11
621422,Centros del sector público de atención médica externa para enfermos mentales y adictos,Atención ambulatoria de salud mental y adicciones,Público,Principal,Prefijo SCIAN 621 o 622,12,2018,2020-11
621491,Otros centros del sector privado para la atención de pacientes que no requieren hospitalización,Otro centro de atención sin hospitalización,Privado,Principal,Prefijo SCIAN 621 o 622,40,2018,2020-11
621492,Otros centros del sector público para la atención de pacientes que no requieren hospitalización,Otro centro de atención sin hospitalización,Público,Principal,Prefijo SCIAN 621 o 622,2,2018,2020-11
621511,Laboratorios médicos y de diagnóstico del sector privado,Laboratorio médico y de diagnóstico,Privado,Principal,Prefijo SCIAN 621 o 622,826,2018,2020-11
621512,Laboratorios médicos y de diagnóstico del sector público,Laboratorio médico y de diagnóstico,Público,Principal,Prefijo SCIAN 621 o 622,10,2018,2020-11
621610,Servicios de enfermería a domicilio,Enfermería a domicilio,No especificado,Principal,Prefijo SCIAN 621 o 622,12,2018,2020-11
621910,Servicios de ambulancias,Ambulancias,No especificado,Principal,Prefijo SCIAN 621 o 622,19,2018,2020-11
621991,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector privado","Banco de sangre, órganos u otro servicio auxiliar",Privado,Principal,Prefijo SCIAN 621 o 622,4,2018,2020-11
621992,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector público","Banco de sangre, órganos u otro servicio auxiliar",Público,Principal,Prefijo SCIAN 621 o 622,2,2018,2020-11
622111,Hospitales generales del sector privado,Hospital general,Privado,Principal,Prefijo SCIAN 621 o 622,156,2018,2020-11
622112,Hospitales generales del sector público,Hospital general,Público,Principal,Prefijo SCIAN 621 o 622,117,2018,2020-11
622211,Hospitales psiquiátricos y para el tratamiento por adicción del sector privado,Hospital psiquiátrico y de tratamiento de adicciones,Privado,Principal,Prefijo SCIAN 621 o 622,12,2018,2020-11
622212,Hospitales psiquiátricos y para el tratamiento por adicción del sector público,Hospital psiquiátrico y de tratamiento de adicciones,Público,Principal,Prefijo SCIAN 621 o 622,5,2018,2020-11
622311,Hospitales del sector privado de otras especialidades médicas,Hospital de otra especialidad médica,Privado,Principal,Prefijo SCIAN 621 o 622,66,2018,2020-11
622312,Hospitales del sector público de otras especialidades médicas,Hospital de otra especialidad médica,Público,Principal,Prefijo SCIAN 621 o 622,21,2018,2020-11
623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",Residencia con cuidados de enfermería,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,19,2018,2020-11
623112,"Residencias del sector público con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",Residencia con cuidados de enfermería,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,1,2018,2020-11
623211,Residencias del sector privado para el cuidado de personas con problemas de retardo mental,Residencia para personas con discapacidad intelectual,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,15,2018,2020-11
623221,Residencias del sector privado para el cuidado de personas con problemas de trastorno mental y adicción,Residencia para salud mental y adicciones,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,26,2018,2020-11
623222,Residencias del sector público para el cuidado de personas con problemas de trastorno mental y adicción,Residencia para salud mental y adicciones,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,8,2018,2020-11
623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,88,2018,2020-11
623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,20,2018,2020-11
624111,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado,Orientación o trabajo social relacionado con salud,Privado,Complementario,Código social amplio más palabra clave de salud,5,2018,2020-11
624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Orientación o trabajo social relacionado con salud,Público,Complementario,Código social amplio más palabra clave de salud,1,2018,2020-11
624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,29,2018,2020-11
624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,95,2018,2020-11
624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,Grupo de autoayuda para adicciones,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,1367,2018,2020-11
624198,Otros servicios de orientación y trabajo social prestados por el sector privado,Orientación o trabajo social relacionado con salud,Privado,Complementario,Código social amplio más palabra clave de salud,1,2018,2020-11
624199,Otros servicios de orientación y trabajo social prestados por el sector público,Orientación o trabajo social relacionado con salud,Público,Complementario,Código social amplio más palabra clave de salud,5,2018,2020-11
