Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
311150,8539587,09014623311000251000000000U9,CASA DE ASISTENSIA AL ADULTO MAYOR,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Benito Juárez,Benito Juárez,PORTALES ORIENTE,03570,1,AVENIDA,PRESIDENTE PLUTARCO ELIAS CALLES,1143,0901400010878,0878,015,19.36709864,-99.13795519,1,2019-11,2019,2018,2021,11,2021-11,denue_09_1121_shp.zip
310927,901605,09014623311000173000000000U5,CASA DE REPOSO,FUNDACION DOLORES BENEDET AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,IZTACCIHUATL,03520,1,CALLE,RALPH ROEDER,2824,0901400010312,0312,009,19.3904203,-99.13397437,1,2014-12,2014,2018,2021,11,2021-11,denue_09_1121_shp.zip
311798,954093,09014623311000143001000000U8,CASA DEL ACTOR IAP MARIO MORENO,,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Benito Juárez,Benito Juárez,MIXCOAC,03910,1,CALLE,TIZIANO,34,0901400010685,0685,004,19.37380107,-99.19044673,1,2010-07,2010,2018,2021,11,2021-11,denue_09_1121_shp.zip
311968,954990,09014623311000093000000000U5,CASA HOGAR CENTRO DE ATENCION GERIATRICA,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,SAN JOSE INSURGENTES,03900,1,CALLE,ACORDADA,62,0901400010897,0897,017,19.36862722,-99.18357508,1,2010-07,2010,2018,2021,11,2021-11,denue_09_1121_shp.zip
311689,959818,09014623311000103001000000U2,CASA HOGAR UNGRANITO DE ARENA,CASA HOGAR UN GIGANTE DE ARENA,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE,03020,1,CALLE,NICOLAS SAN JUAN,515,0901400010257,0257,023,19.39365802,-99.161182,1,2010-07,2010,2018,2021,11,2021-11,denue_09_1121_shp.zip
319267,8616925,09014623311000234000000000U5,CLINICA DEL ENCUENTRO,CLINICA DEL ENCUENTRO SA DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE,03100,1,CALLE,SAN LORENZO,806,0901400010755,0755,013,19.37325901,-99.16714308,1,2019-11,2019,2018,2021,11,2021-11,denue_09_1121_shp.zip
333569,934690,09014623311000191001000000U7,ESTANCIA DE ANCIANOS NUESTRA SEÑORA DE GUADALUPE,ESTANCIA DE ANCIANOS NUESTRA SEÑORA DE GUADALUPE AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,SAN JOSE INSURGENTES,03900,1,CALLE,CALLE DEL ANGEL,43,090140001090A,090A,020,19.36763399,-99.18407922,1,2014-12,2014,2018,2021,11,2021-11,denue_09_1121_shp.zip
338867,955353,09014623311000072000000000U9,RESIDENCIA LOS ANGELES,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,NARVARTE PONIENTE,03020,1,CALLE,UXMAL,103,0901400010079,0079,020,19.39771758,-99.1544334,1,2010-07,2010,2018,2021,11,2021-11,denue_09_1121_shp.zip
338896,6317831,09014623991000155000000000U1,RESIDENCIA VILLAZUL,OPERADORA DE RESIDENCIAS SAPI DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,101 a 250 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE NORTE,03103,1,CALLE,LA MORENA,415,090140001005A,005A,003,19.39875475,-99.16214724,1,2010-07,2010,2018,2021,11,2021-11,denue_09_1121_shp.zip
331907,8539484,09014623311000242000000000S8,SOY ABUELO ASILO DE ANCIANOS,HOSPITAL UNIVERSIDAD SC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,NARVARTE PONIENTE,03020,1,CALLE,XOCHICALCO,368,0901400010261,0261,012,19.388202,-99.15441597,1,2019-11,2019,2018,2021,11,2021-11,denue_09_1121_shp.zip
