Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
311065,684022,,"ASILO DE ANCIANOS LA DE MONINA, A.C.",,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,SINDICATO MEXICANO DE LOS ELECTRICISTAS,02660,1,CALLE,NORTE 89-A,501,0900200010491,0491,004,19.47718164,-99.1793498,1,DICIEMBRE 2014,,2013,2016,10,2016-10,denue_09_1016_shp.zip
317886,683216,,CENTRO GERANTOLOGICO VICENTE GARCIA TORRES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,623312,Asilos y otras residencias del sector pÃºblico para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,101 a 250 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN ALVARO,02090,1,AVENIDA,AZCAPOTZALCO,59,0900200010792,0792,011,19.46093076,-99.18839034,1,DICIEMBRE 2014,,2013,2016,10,2016-10,denue_09_1016_shp.zip
334184,667589,,NSTITUCIÃ“N DE ASISTENCIA CASA BETTI,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Azcapotzalco,Azcapotzalco,SANTA MARIA MALINALCO,02050,1,CALLE,SAN SEBASTIÃ�N,82,0900200010345,0345,005,19.48092763,-99.1805378,1,JULIO 2010,,2013,2016,10,2016-10,denue_09_1016_shp.zip
330180,6258983,,RESIDENCIA TEODORO GILDREN,FUNDACION BRINGAS HAGHENBECK IAP,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Azcapotzalco,Azcapotzalco,BARRIO SAN SEBASTIAN,02040,1,CALLE,SAN SEBASTIÃ�N,110,0900200010345,0345,005,19.48065411,-99.17966701,1,DICIEMBRE 2014,,2013,2016,10,2016-10,denue_09_1016_shp.zip
339152,658173,,TERCER HOGAR,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Azcapotzalco,Azcapotzalco,CLAVERIA,02080,1,CALLE,IGNACIO ALLENDE,286,0900200010699,0699,002,19.46902915,-99.17902126,1,MARZO 2011,,2013,2016,10,2016-10,denue_09_1016_shp.zip
310520,870866,,ALBERGUE ALABAMA,,623312,Asilos y otras residencias del sector pÃºblico para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,NÃ�POLES,03810,1,CALLE,ALABAMA,17,0901400010384,0384,011,19.39134258,-99.17410291,1,JULIO 2010,,2013,2016,10,2016-10,denue_09_1016_shp.zip
313573,869108,,ALBERGUE NEBRASKA,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,623312,Asilos y otras residencias del sector pÃºblico para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,No especificado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,NÃ�POLES,03810,1,CALLE,NEBRASKA,180,0901400010204,0204,006,19.3953933,-99.17697671,1,JULIO 2010,,2013,2016,10,2016-10,denue_09_1016_shp.zip
317414,901605,,ASILO LAS HACIENDAS DEL PILAR,"LAS HACIENDAS DEL PILAR, S.C.",623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,IZTACCIHUATL,03520,1,CALLE,RALPH ROEDER,824,0901400010312,0312,009,19.3904203,-99.13397437,1,DICIEMBRE 2014,,2013,2016,10,2016-10,denue_09_1016_shp.zip
316521,951963,,"CASA DE DESCANSO SAN SEBASTIÃ�N, A.C.","CASA DE DESCANSO SAN SEBASTIÃ�N, A.C.",623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,DEL VALLE,03100,1,CALLE,AMORES,1056,0901400010609,0609,009,19.3809105,-99.16699734,1,JULIO 2010,,2013,2016,10,2016-10,denue_09_1016_shp.zip
313866,951959,,"CASA DE DESCANSO SAN SEBASTIAN, A.C.","CASA DE DESCANSO SAN SEBASTIAN, A.C.",623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,DEL VALLE CENTRO,03100,1,CALLE,MATÃ�AS ROMERO,0,0901400010609,0609,015,19.38017216,-99.1661996,1,JULIO 2010,,2013,2016,10,2016-10,denue_09_1016_shp.zip
