Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
301408,8646288,,CASA DE DIA DEL ADULTO MAYOR TLATILCO,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Azcapotzalco,Azcapotzalco,TLATILCO,02860,1,CALZADA,TLATILCO,33,0900200010858,0858,033,19.45942719,-99.16439061,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
302251,683216,,CASA HOGAR VICENTE GARCÍA TORRES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,101 a 250 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN ALVARO,02090,1,AVENIDA,AZCAPOTZALCO,59,0900200010792,0792,011,19.46117137,-99.18835253,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
324944,667589,,INSTITUCIÓN DE ASISTENCIA PRIVADA CASA BETTI,INSTITUCION DE ASISTENCIA PRIVADA CASA BETTI,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN SEBASTIAN,02040,1,CALLE,SAN SEBASTIAN,82,0900200010345,0345,005,19.48092762,-99.1805378,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
326660,684022,,LA DE MONINA,MÓNICA ALEJANDRA ANDRADE HERNÁNDEZ,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,SANTA MARIA MALINALCO,02050,1,CALLE,NORTE 89-A,501,0900200010491,0491,004,19.47718164,-99.1793498,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
329055,658173,,TERCER HOGAR,TERCER HOGAR SC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Azcapotzalco,Azcapotzalco,LOTERIA NACIONAL,02080,1,CALLE,IGNACIO ALLENDE,286,0900200010699,0699,002,19.46902914,-99.17902125,1,2011-03,2011,2018,2019,11,2019-11,denue_09_1119_shp.zip
309173,870866,,ALBERGUE ALABAMA,INAPAM SEDESOL,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NAPOLES,03810,1,CALLE,ALABAMA,17,0901400010384,0384,011,19.39134257,-99.17410291,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
309188,869108,,ALBERGUE NEBRASKA,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NAPOLES,03810,1,CALLE,NEBRASKA,180,0901400010204,0204,006,19.39539329,-99.17697671,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
303958,8539687,,ASILO CASA DE LAS LUNAS VALLE,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,LETRAN VALLE,03650,1,CALLE,EDZNA,203,0901400010632,0632,012,19.37523389,-99.14979166,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
302122,903987,,CASA DE ADULTO MAYOR MERIDIA CENTROS DE DIA,SALUS CARE SOLUTIONS SAPI DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE SUR,03104,1,CALLE,AMORES,1729,0901400010810,0810,010,19.3660164,-99.17089621,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
301401,8539587,,CASA DE ASISTENSIA AL ADULTO MAYOR,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Benito Juárez,Benito Juárez,PORTALES ORIENTE,03570,1,AVENIDA,PRESIDENTE PLUTARCO ELIAS CALLES,1143,0901400010878,0878,015,19.36709863,-99.13795519,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
