Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
531113,Alquiler sin intermediación de salones para fiestas y convenciones,Salón para fiestas infantiles (por nombre),Probable adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
531113,Alquiler sin intermediación de salones para fiestas y convenciones,Salón para fiestas infantiles (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,195,2018,2025-05
611111,Escuelas de educación preescolar del sector privado,Preescolar,Primera infancia (0 a 5 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,992,2018,2025-05
611112,Escuelas de educación preescolar del sector público,Preescolar,Primera infancia (0 a 5 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1262,2018,2025-05
611121,Escuelas de educación primaria del sector privado,Primaria,Niñez escolar (6 a 11 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,348,2018,2025-05
611122,Escuelas de educación primaria del sector público,Primaria,Niñez escolar (6 a 11 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1927,2018,2025-05
611131,Escuelas de educación secundaria general del sector privado,Secundaria general,Adolescencia (12 a 14 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,84,2018,2025-05
611132,Escuelas de educación secundaria general del sector público,Secundaria general,Adolescencia (12 a 14 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,613,2018,2025-05
611141,Escuelas de educación secundaria técnica del sector privado,Secundaria técnica,Adolescencia (12 a 14 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,9,2018,2025-05
611142,Escuelas de educación secundaria técnica del sector público,Secundaria técnica,Adolescencia (12 a 14 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,181,2018,2025-05
611151,Escuelas de educación media técnica terminal del sector privado,Educación técnica terminal para adolescentes,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Privado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,33,2018,2025-05
611152,Escuelas de educación media técnica terminal del sector público,Educación técnica terminal para adolescentes,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Público,Complementario,Directa por código,Código SCIAN de educación para adolescencias,3,2018,2025-05
611161,Escuelas de educación media superior del sector privado,Educación media superior,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Privado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,121,2018,2025-05
611162,Escuelas de educación media superior del sector público,Educación media superior,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Público,Complementario,Directa por código,Código SCIAN de educación para adolescencias,204,2018,2025-05
611171,Escuelas del sector privado que combinan diversos niveles de educación,Escuela con varios niveles educativos,Niñez y adolescencia (edad exacta no especificada),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,753,2018,2025-05
611172,Escuelas del sector público que combinan diversos niveles de educación,Escuela con varios niveles educativos,Niñez y adolescencia (edad exacta no especificada),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,119,2018,2025-05
611181,Escuelas del sector privado de educación para necesidades especiales,Educación especial,Niñez y adolescencia (edad exacta no especificada),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,58,2018,2025-05
611182,Escuelas del sector público de educación para necesidades especiales,Educación especial,Niñez y adolescencia (edad exacta no especificada),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,319,2018,2025-05
611512,Escuelas del sector público dedicadas a la enseñanza de oficios,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
611611,Escuelas de arte del sector privado,Escuela de arte,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",542,2018,2025-05
611612,Escuelas de arte del sector público,Escuela de arte,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",48,2018,2025-05
611612,Escuelas de arte del sector público,Escuela de arte,Probable primera infancia; verificar,Público,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",1,2018,2025-05
611621,Escuelas de deporte del sector privado,Escuela de deporte,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",618,2018,2025-05
611622,Escuelas de deporte del sector público,Escuela de deporte,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",40,2018,2025-05
611631,Escuelas de idiomas del sector privado,Escuela de idiomas,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",212,2018,2025-05
611632,Escuelas de idiomas del sector público,Escuela de idiomas,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",7,2018,2025-05
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2025-05
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,173,2018,2025-05
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,10,2018,2025-05
611698,Otros servicios educativos proporcionados por el sector privado,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
611699,Otros servicios educativos proporcionados por el sector público,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2025-05
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,32,2018,2025-05
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable primera infancia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2025-05
623992,Orfanatos y otras residencias de asistencia social del sector público,Residencia o casa hogar para infancias (por nombre),Probable adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
623992,Orfanatos y otras residencias de asistencia social del sector público,Residencia o casa hogar para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,6,2018,2025-05
624111,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado,Orientación y trabajo social para niñez y juventud,Niñez y adolescencia,Privado,Complementario,Directa por código,Código SCIAN de orientación para niñez y juventud,82,2018,2025-05
624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Orientación y trabajo social para niñez y juventud,Niñez y adolescencia,Público,Complementario,Directa por código,Código SCIAN de orientación para niñez y juventud,453,2018,2025-05
624198,Otros servicios de orientación y trabajo social prestados por el sector privado,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
624199,Otros servicios de orientación y trabajo social prestados por el sector público,Apoyo social o refugio para infancias (por nombre),Probable adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
624199,Otros servicios de orientación y trabajo social prestados por el sector público,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2025-05
624199,Otros servicios de orientación y trabajo social prestados por el sector público,Apoyo social o refugio para infancias (por nombre),Probable primera infancia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
624221,Refugios temporales comunitarios del sector privado,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
624411,Guarderías del sector privado,Guardería o estancia infantil,Primera infancia (0 a 5 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,324,2018,2025-05
624412,Guarderías del sector público,Guardería o estancia infantil,Primera infancia (0 a 5 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,257,2018,2025-05
712111,Museos del sector privado,"Cultura, museo o zoológico infantil (por nombre)",Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
713120,Casas de juegos electrónicos,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,5,2018,2025-05
713941,Clubes deportivos del sector privado,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,53,2018,2025-05
713942,Clubes deportivos del sector público,Club deportivo,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,10,2018,2025-05
713943,Centros de acondicionamiento físico del sector privado,Recreación o actividad física infantil (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2025-05
713992,Clubes o ligas de aficionados,Club o liga deportiva amateur,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,50,2018,2025-05
713992,Clubes o ligas de aficionados,Club o liga deportiva amateur,Probable adolescencia; verificar,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,1,2018,2025-05
713998,Otros servicios recreativos prestados por el sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,15,2018,2025-05
713998,Otros servicios recreativos prestados por el sector privado,Recreación o actividad física infantil (por nombre),Probable primera infancia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2025-05
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2025-05
