Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Orientación y trabajo social para niñez y juventud,Niñez y adolescencia,Público,Complementario,Directa por código,Código SCIAN de orientación para niñez y juventud,200,2018,2019-11
624198,Otros servicios de orientación y trabajo social prestados por el sector privado,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
624199,Otros servicios de orientación y trabajo social prestados por el sector público,Apoyo social o refugio para infancias (por nombre),Probable adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
624199,Otros servicios de orientación y trabajo social prestados por el sector público,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,3,2018,2019-11
624411,Guarderías del sector privado,Guardería o estancia infantil,Primera infancia (0 a 5 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,622,2018,2019-11
624412,Guarderías del sector público,Guardería o estancia infantil,Primera infancia (0 a 5 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,314,2018,2019-11
712111,Museos del sector privado,"Cultura, museo o zoológico infantil (por nombre)",Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
713111,Parques de diversiones y temáticos del sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,3,2018,2019-11
713120,Casas de juegos electrónicos,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,8,2018,2019-11
713941,Clubes deportivos del sector privado,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,140,2018,2019-11
713942,Clubes deportivos del sector público,Club deportivo,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,31,2018,2019-11
713943,Centros de acondicionamiento físico del sector privado,Recreación o actividad física infantil (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2019-11
713943,Centros de acondicionamiento físico del sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2019-11
713944,Centros de acondicionamiento físico del sector público,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
713992,Clubes o ligas de aficionados,Club o liga deportiva amateur,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,61,2018,2019-11
713992,Clubes o ligas de aficionados,Club o liga deportiva amateur,Probable adolescencia; verificar,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,1,2018,2019-11
713998,Otros servicios recreativos prestados por el sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,16,2018,2019-11
713998,Otros servicios recreativos prestados por el sector privado,Recreación o actividad física infantil (por nombre),Probable primera infancia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2018,2019-11
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,30,2018,2019-11
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
