tipo_cultural,adscripcion,registros,tipo_gestion,criterio_clasificacion,revision_manual,motivo_revision,fuente_revision,nota_revision
CENTRO_CULTURAL,"Border Brother, S. de R.L. de C.V.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Casa de Cultura EyB,1,NO_DETERMINADO,SIN_EVIDENCIA_SUFICIENTE,SI,La adscripción no contiene información suficiente para clasificarla automáticamente como pública o privada.,,
CENTRO_CULTURAL,"Casa de la Cultura Las Jarillas, S.C. de R.L. de C.V.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Casa de la Cultura y Recreación Sta. Cruz Meyehualco, A.C. ",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Casino Español de México, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Centro Cultural El Juglar, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Centro Cultural Los Talleres, A.C.",2,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Centro Cultural Matus, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Centro Cultural Vicente Lombardo Toledano, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Centro Cultural y Social Hidalguense, A.C./Consejo Estatal para la Cultura y las Artes de Hidalgo/ Representación del Gobierno del Estado de Hidalgo",1,MIXTO,MIXTO_CONFIRMADO,NO,,,
CENTRO_CULTURAL,"Centro Cultural y Social Veracruzano, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Centro Deportivo Chapultepec, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Centro Universitario Cultural, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Centro de Estudios para la Cultura y las Artes Casa Lamm, A. C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Compañía Teatro del Árbol, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
