id_denue,clee,nombre_establecimiento,nombre_normalizado,razon_social,codigo_scian,actividad_scian,categoria_enfoque,subcategoria,sector,es_oferta_deportiva,es_gimnasio_acondicionamiento,es_club_deportivo,es_servicio_adulto_mayor,mencion_explicita_adulto_mayor,terminos_adulto_mayor,criterio_adulto_mayor,requiere_revision_manual,motivo_revision,posible_duplicado_nombre_coordenadas,personal_ocupado,tipo_vialidad,nombre_vialidad,numero_exterior,letra_exterior,numero_interior,letra_interior,direccion_limpia,tipo_asentamiento,asentamiento,codigo_postal,codigo_postal_valido,clave_entidad,entidad,clave_alcaldia,alcaldia,clave_localidad,localidad,ageb,manzana,clave_municipio,clave_ageb,clave_manzana,latitud,longitud,coordenadas_validas,telefono,correo_electronico,sitio_web,tipo_unidad_economica,fecha_alta_denue,anio_alta_denue,mes_alta_denue,anio_datos,mes_corte,edicion_denue
651842,,GYM MOO DUK KWAN,GYM MOO DUK KWAN,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,28,240,,,,CALLE 28 240 COLONIA AMPLIACION PROGRESO NACIONAL 07650,COLONIA,AMPLIACION PROGRESO NACIONAL,07650,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0440,022,09005,0900500010440,0900500010440022,19.52171488,-99.16020739,1,,,,Fijo,2010-07,2010,07,2020,11,2020-11
672029,,GYM MOSQUEDA,GYM MOSQUEDA,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,6 a 10 personas,AVENIDA,3-A,20,,,,AVENIDA 3-A 20 COLONIA AMPLIACION PROGRESO NACIONAL 07600,COLONIA,AMPLIACION PROGRESO NACIONAL,07600,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0436,017,09005,0900500010436,0900500010436017,19.5182672,-99.162897,1,,,,Fijo,2014-12,2014,12,2020,11,2020-11
782301,,GYM MUSCLE MANIA,GYM MUSCLE MANIA,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,AVENIDA,INSURGENTES NORTE,1099,,,,AVENIDA INSURGENTES NORTE 1099 COLONIA VALLEJO 07870,COLONIA,VALLEJO,07870,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,174A,019,09005,090050001174A,090050001174A019,19.46886218,-99.13784855,1,5529507060,,,Fijo,2010-07,2010,07,2020,11,2020-11
8223540,,GYM MUSCLES & BEAUTY,GYM MUSCLES BEAUTY,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,AVENIDA,EMILIANO ZAPATA,,SN,,,AVENIDA EMILIANO ZAPATA SN COLONIA GUADALUPE VICTORIA CUAUTEPEC 07209,COLONIA,GUADALUPE VICTORIA CUAUTEPEC,07209,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0192,027,09005,0900500010192,0900500010192027,19.53995024,-99.14046251,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
7153532,,GYM POWER Y FITNESS,GYM POWER Y FITNESS,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,NORTE 86-A,4220,,0,,CALLE NORTE 86-A 4220 INT 0 COLONIA LA MALICHE 07899,COLONIA,LA MALICHE,07899,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2288,003,09005,0900500012288,0900500012288003,19.45212265,-99.10442738,1,5544982434,,,Fijo,2019-11,2019,11,2020,11,2020-11
8126609,,GYM SALRUK SPORT,GYM SALRUK SPORT,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,PUERTO MARQUEZ,97,,,,CALLE PUERTO MARQUEZ 97 COLONIA AMPLIACION CASAS ALEMAN 07580,COLONIA,AMPLIACION CASAS ALEMAN,07580,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,1913,017,09005,0900500011913,0900500011913017,19.47805093,-99.08346643,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
8143501,,GYM TAURO,GYM TAURO,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,GENERAL VICENTE GUERRERO,133,,,,CALLE GENERAL VICENTE GUERRERO 133 COLONIA MARTIN CARRERA 07070,COLONIA,MARTIN CARRERA,07070,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,1294,008,09005,0900500011294,0900500011294008,19.48861512,-99.10655508,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
790163,,GYM TEMPLE SPORT,GYM TEMPLE SPORT,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,ORIENTE 91,2813,,,,CALLE ORIENTE 91 2813 COLONIA RIO BLANCO 07880,COLONIA,RIO BLANCO,07880,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2199,015,09005,0900500012199,0900500012199015,19.46162019,-99.11593666,1,,,,Fijo,2010-07,2010,07,2020,11,2020-11
791534,,GYM TORRE,GYM TORRE,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,6 a 10 personas,CALLE,NORTE 66-A,5203,,,,CALLE NORTE 66-A 5203 COLONIA TABLAS DE SAN AGUSTIN 07860,COLONIA,TABLAS DE SAN AGUSTIN,07860,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2061,017,09005,0900500012061,0900500012061017,19.4630305,-99.10954076,1,5557514299,,,Fijo,2010-07,2010,07,2020,11,2020-11
8651429,,GYM TRANING CLUB,GYM TRANING CLUB,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,AVENIDA 519,36,,,,CALLE AVENIDA 519 36 COLONIA U.H SAN JUAN DE ARAGON 1RA SECC 07969,COLONIA,U.H SAN JUAN DE ARAGON 1RA SECC,07969,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2235,027,09005,0900500012235,0900500012235027,19.45456608,-99.09374338,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
