Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Palabras clave detectadas,Es guardería o estancia infantil,Es preescolar,Es primaria,Es secundaria,Es escuela de varios niveles,Es educación especial,Es media superior o técnica,Es formación complementaria,Es club o deporte,Es recreación o cultura infantil,Es apoyo social o residencia,Enfoque primera infancia,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
323968,965222,,"CENTRO DE INTEGRACIÃ“N JUVENIL, A.C.","CENTRO DE INTEGRACIÃ“N JUVENIL, A.C.",624198,Otros servicios de orientaciÃ³n y trabajo social prestados por el sector privado,Infancias,Apoyo social o refugio para infancias (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,JUVENIL,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,11 a 30 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,JOSEFA ORTIZ DE DOMINGUEZ,03430,1,CALLE,GUIPUZCOA,56,0901400010295,0295,014,19.38766589,-99.14119512,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
342637,6320335,,PROGRAMA NINOS DE LA CALLE AC,PROGRAMA NINOS DE LA CALLE AC,624198,Otros servicios de orientaciÃ³n y trabajo social prestados por el sector privado,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad | Código postal faltante o inválido,6 a 10 personas,Fijo,CoyoacÃ¡n,CoyoacÃ¡n,CARMEN SERDÃ�N,4910,0,CALLE,SOLEDAD SOLÃ“RZANO,,0900300010959,0959,026,19.32107327,-99.10870125,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
326595,6317943,,CASA DE LA AMISTAD NINOS CON CANCER IAP,CASA DE LA AMISTAD NINOS CON CANCER IAP,624198,Otros servicios de orientaciÃ³n y trabajo social prestados por el sector privado,Infancias,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑA/O,0,0,0,0,0,0,0,0,0,0,1,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,51 a 100 personas,Fijo,Xochimilco,Xochimilco,SAN JUAN TEPEPAN,16020,1,CALLE,IGNACIO ALDAMA,2,0901300010033,0033,004,19.27573527,-99.12989232,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
269420,953575,,LUDOTECA DE EDUCACIÃ“N ESCOLAR CANICA,LUDOTECA DE EDUCACIÃ“N PREESCOLAR CANICA,519122,Bibliotecas y archivos del sector pÃºblico,Infancias,Biblioteca infantil o juvenil (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA | PREESCOLAR,0,0,0,0,0,0,0,0,0,1,0,1,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad | Código postal faltante o inválido,6 a 10 personas,Fijo,Benito JuÃ¡rez,Benito JuÃ¡rez,HLH,,0,CALLE,SAN FELIPE,36,0901400010967,0967,003,19.35978087,-99.16689727,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
260713,1059484,,LUDOTECA DE EDUCACIÃ“N PREESCOLAR JUGARTE,SEP,519122,Bibliotecas y archivos del sector pÃºblico,Infancias,Biblioteca infantil o juvenil (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA | PREESCOLAR,0,0,0,0,0,0,0,0,0,1,0,1,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,CuauhtÃ©moc,CuauhtÃ©moc,NONOALCO TLATELOLCO,06900,1,AVENIDA,RICARDO FLORES MAGÃ“N,439,0901500010199,0199,001,19.45477898,-99.15022011,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
265530,877234,,LUDOTECA SIN NOMBRE,,519122,Bibliotecas y archivos del sector pÃºblico,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,CuauhtÃ©moc,CuauhtÃ©moc,SANTA MARÃ�A LA RIBERA,06400,1,EJE VIAL,1 NORTE (JOSÃ‰ ANTONIO ALZATE),0,0901500010555,0555,006,19.44803206,-99.1632086,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
263454,710709,,LUDOTECA SIN NOMBRE,ADMINISTRACIÃ“N JOYAS DE ORIENTE,519121,Bibliotecas y archivos del sector privado,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Iztacalco,Iztacalco,AGRICOLA ORIENTAL,08500,1,CALLE,ORIENTE 259,108,0900600010217,0217,003,19.39501905,-99.0610796,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
261449,795290,,LUDOTECA SIN NOMBRE,,519121,Bibliotecas y archivos del sector privado,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Iztacalco,Iztacalco,INFONAVIT IZTACALCO,08900,1,CALLE,SAUCE DE AGUA,14,0900600010931,0931,032,19.38220939,-99.10573141,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
261950,949756,,DESARROLLO SOCIAL LUDOTECA,,519122,Bibliotecas y archivos del sector pÃºblico,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Milpa Alta,San Francisco Tecoxpa,SAN FRANCISCO TECOXPA,12700,1,CALLE,PRIMERA CERRADA MIGUEL HIDALGO,0,0900900170365,0365,036,19.19931501,-99.00622055,1,2014-12,2014,2018,2018,11,2018-11,denue_09_1118_shp.zip
267904,853031,,LUDOTECA INFANTILANDIA,,519121,Bibliotecas y archivos del sector privado,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Tlalpan,Tlalpan,AMPLIACIÃ“N MIGUEL HIDALGO SEGUNDA SECCIÃ“N,14250,1,CALLE,ALFREDO V. BONFIL,0,0901200012193,2193,015,19.28044007,-99.20262734,1,2010-07,2010,2018,2018,11,2018-11,denue_09_1118_shp.zip
