Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Palabras clave detectadas,Es guardería o estancia infantil,Es preescolar,Es primaria,Es secundaria,Es escuela de varios niveles,Es educación especial,Es media superior o técnica,Es formación complementaria,Es club o deporte,Es recreación o cultura infantil,Es apoyo social o residencia,Enfoque primera infancia,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
259016,710709,,LUDOTECA,ADMINISTRACIÓN JOYAS DE ORIENTE,519121,Bibliotecas y archivos del sector privado,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Iztacalco,Iztacalco,AGRICOLA ORIENTAL,08500,1,CALLE,ORIENTE 259,108,0900600010217,0217,003,19.39501904,-99.06107959,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
259018,795290,,LUDOTECA,,519121,Bibliotecas y archivos del sector privado,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Iztacalco,Iztacalco,INFONAVIT IZTACALCO,08900,1,CALLE,MANZANA O EDIFICACION CONTIGUA,14,0900600010931,0931,032,19.38253365,-99.10556897,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
259677,733388,,LUDOTECA PILCALLI DE LA ASAMBLEA COMUNITARIA MIRAVALLE,CECILIA LIMA MIRAFUENTES,519122,Bibliotecas y archivos del sector público,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Iztapalapa,Iztapalapa,MIRAVALLES,09693,1,CALLE,RICARDO FLORES MAGON,,0900700014876,4876,025,19.33886861,-98.99677651,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
259673,8680750,,LUDOTECA KIDS FAT BLSG,,519121,Bibliotecas y archivos del sector privado,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,KID | LUDOTECA,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,0 a 5 personas,Fijo,Tlalpan,Tlalpan,HACIENDA COAPA,14326,1,CALLE,DON REFUGIO,4,0901200011937,1937,001,19.29770098,-99.11904574,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
258736,645261,,BIBLIOTECA PUBLICA MISAEL NIÑEZ ACOSTA,GOBIERNO DEL CDMX,519122,Bibliotecas y archivos del sector público,Infancias,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,NIÑEZ,0,0,0,0,0,0,0,0,0,1,0,0,SI,Inclusión por nombre; confirmar que el servicio atienda a menores de edad,6 a 10 personas,Fijo,Venustiano Carranza,Venustiano Carranza,MICHOACANA,15240,1,EJE VIAL,3 ORIENTE (INGENIERO EDUARDO MOLINA),,0901700010244,0244,008,19.4437733,-99.11266531,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
338200,684393,,CENTRO HOLÍSTICO,VOLUNTARIADO NACIONAL,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,NUEVA SANTA MARIA,02800,1,CALLE,GUANABANA,134,0900200010839,0839,003,19.46270229,-99.16870747,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
337538,9191080,,CENTRO SOCIAL CULTURAL Y DEPORTIVO VIDEOGRAFO,CENTRO SOCIAL CULTURAL Y DEPORTIVO VIDEOGRAFO AC,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,UNIDAD EL ROSARIO CTM,02100,1,CALLE,HIDROGENO,,0900200010044,0044,001,19.50917765,-99.20147735,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
339744,8000825,,ESCUELA DE BOX AQUILES SERDAN,,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,SANTO DOMINGO,02160,1,PRIVADA,PRIMERA AQUILES SERDAN,,090020001028A,028A,030,19.48637868,-99.19051245,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
333952,7401219,,KARATE DO,,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,AMPLIACION SAN PEDRO XALPA,02719,1,AVENIDA,CALZADA DE LAS ARMAS,267,0900200010595,0595,025,19.48435141,-99.21816531,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
335380,7768044,,SALON DE LA UNIDAD HABITACIONAL TLATILCO,,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,TLATILCO,02860,1,AVENIDA,AVENIDA DE LOS MAESTROS,465,0900200011061,1061,029,19.46204003,-99.16523151,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
