cve_alc,cvegeo,nombre_oficial
002,09002,Azcapotzalco
003,09003,Coyoacán
004,09004,Cuajimalpa de Morelos
005,09005,Gustavo A. Madero
006,09006,Iztacalco
007,09007,Iztapalapa
008,09008,La Magdalena Contreras
009,09009,Milpa Alta
010,09010,Álvaro Obregón
011,09011,Tláhuac
012,09012,Tlalpan
013,09013,Xochimilco
014,09014,Benito Juárez
015,09015,Cuauhtémoc
016,09016,Miguel Hidalgo
017,09017,Venustiano Carranza
