Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
324053,6317831,09014623991000155000000000U1,RESIDENCIA VILLAZUL,OPERADORA DE RESIDENCIAS SA DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,101 a 250 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE NORTE,,0,CALLE,LA MORENA,415,090140001005A,005A,003,19.39875475,-99.16214724,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
303856,6313444,09003623311000064002004254S9,CENTRO SANTA LUISA,FUNDACION DE OBRAS SOCIALES DE SAN VICENTE IAP INSTITUCION DE ASISTENCIA PRIVADA,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,101 a 250 personas,Fijo,Coyoacán,Coyoacán,SANTA CATARINA,,0,AVENIDA,FRANCISCO SOSA,320,0900300010111,0111,001,19.34754914,-99.17562441,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
320836,6315656,09003623311000074000004254M8,HOGAR SAN VICENTE,FUNDACION DE OBRAS SOCIALES DE SAN VICENTE INSTITUCION DE ASISTENCIA PRIVADA,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,31 a 50 personas,Fijo,Coyoacán,Coyoacán,SANTA CATARINA,,0,CERRADA,PEDREGAL,31,0900300010111,0111,001,19.34783918,-99.17553202,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
308604,6811031,09004623311000015001000000U9,BELMONT VILLAGE,CORPORATIVO SANTA FE LIVING S DE RL DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,101 a 250 personas,Fijo,Cuajimalpa de Morelos,Cuajimalpa de Morelos,LOMAS DE SANTA FE,,0,CALLE,VIALIDAD VASCO DE QUIROGA SEGUNDA ETAPA,4001,0900400010369,0369,075,19.35798678,-99.28278409,1,2017-11,2017,2018,2024,11,2024-11,denue_09_1124_shp.zip
329162,6318235,09015623311000105002000000U4,FUNDACION PARA ANCIANOS CONCEPCION BEISTEGUI,FUNDACION PARA ANCIANOS CONCEPCION BEISTEGUI INSTITUCION DE ASISTENCIA PRIVADA,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,101 a 250 personas,Fijo,Cuauhtémoc,Cuauhtémoc,CENTRO,,0,CALLE,REGINA,7,090150001088A,088A,004,19.42817232,-99.13847769,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
327308,1023314,09008624198000012000000000U7,TECHO EDUCACION Y AYUDA,TECHO EDUCACION Y AYUDA AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,51 a 100 personas,Fijo,La Magdalena Contreras,La Magdalena Contreras,HEROES DE PADIERNA,,0,CALLE,GUERRERO,104,0900800010283,0283,015,19.31269008,-99.22280178,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
319016,895770,09015623311000111001024744S2,EISHEL NUESTRO HOGAR,EISHEL NUESTRO HOGAR AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,6 a 10 personas,Fijo,Miguel Hidalgo,Miguel Hidalgo,LOMAS DE CHAPULTEPEC SEPTIMA SECCION,,0,CALLE,MONTE BLANCO,1225,0901600011052,1052,022,19.41261265,-99.21914323,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
328866,6258815,09016623311000011000004021S2,FUNDACION MIER Y PESADO,FUNDACION MIER Y PESADO S DE RL DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,51 a 100 personas,Fijo,Miguel Hidalgo,Miguel Hidalgo,TACUBAYA,,0,CALLE,ANTONIO MACEO,38,0901600011175,1175,004,19.40511115,-99.18510357,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
300406,6314487,09012623311000064000004098S0,CASA DE REPOSO MATEOS PORTILLO,FUNDACION PARA LA PROMOCION HUMANA IAP,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,11 a 30 personas,Fijo,Tlalpan,Tlalpan,LA JOYA,,0,CALLE,MARIANO MATAMOROS,143,0901200010958,0958,010,19.2860076,-99.16440151,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
304764,912511,09012623311000093001000000U9,CASA DEL PARQUE TLALPAN,CASA DEL PARQUE TLALPAN AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,51 a 100 personas,Fijo,Tlalpan,Tlalpan,TORIELLO GUERRA,,0,CALLE,RENATO LEDUC,40,0901200010407,0407,006,19.293435,-99.16533798,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
