Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
611421,Escuelas de computaciÃ³n del sector privado,Otro servicio educativo para infancias (por nombre),Probable primera infancia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
611611,Escuelas de arte del sector privado,Escuela de arte,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",513,2013,2016-10
611612,Escuelas de arte del sector pÃºblico,Escuela de arte,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",30,2013,2016-10
611612,Escuelas de arte del sector pÃºblico,Escuela de arte,Probable primera infancia; verificar,No especificado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",1,2013,2016-10
611621,Escuelas de deporte del sector privado,Escuela de deporte,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",582,2013,2016-10
611621,Escuelas de deporte del sector privado,Escuela de deporte,Probable adolescencia; verificar,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",1,2013,2016-10
611622,Escuelas de deporte del sector pÃºblico,Escuela de deporte,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",54,2013,2016-10
611631,Escuelas de idiomas del sector privado,Escuela de idiomas,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",314,2013,2016-10
611632,Escuelas de idiomas del sector pÃºblico,Escuela de idiomas,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",8,2013,2016-10
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,29,2013,2016-10
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2013,2016-10
611698,Otros servicios educativos proporcionados por el sector privado,Otro servicio educativo para infancias (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
611698,Otros servicios educativos proporcionados por el sector privado,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2013,2016-10
611699,Otros servicios educativos proporcionados por el sector pÃºblico,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2013,2016-10
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,32,2013,2016-10
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable primera infancia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,3,2013,2016-10
623992,Orfanatos y otras residencias de asistencia social del sector pÃºblico,Residencia o casa hogar para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,3,2013,2016-10
624111,Servicios de orientaciÃ³n y trabajo social para la niÃ±ez y la juventud prestados por el sector privado,Orientación y trabajo social para niñez y juventud,Niñez y adolescencia,Privado,Complementario,Directa por código,Código SCIAN de orientación para niñez y juventud,40,2013,2016-10
624112,Servicios de orientaciÃ³n y trabajo social para la niÃ±ez y la juventud prestados por el sector pÃºblico,Orientación y trabajo social para niñez y juventud,Niñez y adolescencia,No especificado,Complementario,Directa por código,Código SCIAN de orientación para niñez y juventud,185,2013,2016-10
624198,Otros servicios de orientaciÃ³n y trabajo social prestados por el sector privado,Apoyo social o refugio para infancias (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
624198,Otros servicios de orientaciÃ³n y trabajo social prestados por el sector privado,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,3,2013,2016-10
624411,GuarderÃ­as del sector privado,Guardería o estancia infantil,Primera infancia (0 a 5 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,755,2013,2016-10
624412,GuarderÃ­as del sector pÃºblico,Guardería o estancia infantil,Primera infancia (0 a 5 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,391,2013,2016-10
712111,Museos del sector privado,"Cultura, museo o zoológico infantil (por nombre)",Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
713111,Parques de diversiones y temÃ¡ticos del sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
713120,Casas de juegos electrÃ³nicos,Recreación o actividad física infantil (por nombre),Probable adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
713120,Casas de juegos electrÃ³nicos,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2013,2016-10
713941,Clubes deportivos del sector privado,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,111,2013,2016-10
713942,Clubes deportivos del sector pÃºblico,Club deportivo,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,19,2013,2016-10
713943,Centros de acondicionamiento fÃ­sico del sector privado,Recreación o actividad física infantil (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2013,2016-10
713943,Centros de acondicionamiento fÃ­sico del sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2013,2016-10
713944,Centros de acondicionamiento fÃ­sico del sector pÃºblico,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
713992,Clubes o ligas de aficionados,Club o liga deportiva amateur,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,53,2013,2016-10
713992,Clubes o ligas de aficionados,Club o liga deportiva amateur,Probable adolescencia; verificar,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,1,2013,2016-10
713998,Otros servicios recreativos prestados por el sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,9,2013,2016-10
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,5,2013,2016-10
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,5,2013,2016-10
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
