Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
519121,Bibliotecas y archivos del sector privado,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2013,2016-10
519122,Bibliotecas y archivos del sector pÃºblico,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2013,2016-10
519122,Bibliotecas y archivos del sector pÃºblico,Biblioteca infantil o juvenil (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2013,2016-10
531113,Alquiler sin intermediaciÃ³n de salones para fiestas y convenciones,Salón para fiestas infantiles (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,264,2013,2016-10
531113,Alquiler sin intermediaciÃ³n de salones para fiestas y convenciones,Salón para fiestas infantiles (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2013,2016-10
611111,Escuelas de educaciÃ³n preescolar del sector privado,Preescolar,Primera infancia (0 a 5 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1751,2013,2016-10
611112,Escuelas de educaciÃ³n preescolar del sector pÃºblico,Preescolar,Primera infancia (0 a 5 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1337,2013,2016-10
611121,Escuelas de educaciÃ³n primaria del sector privado,Primaria,Niñez escolar (6 a 11 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,529,2013,2016-10
611122,Escuelas de educaciÃ³n primaria del sector pÃºblico,Primaria,Niñez escolar (6 a 11 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,2068,2013,2016-10
611131,Escuelas de educaciÃ³n secundaria general del sector privado,Secundaria general,Adolescencia (12 a 14 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,123,2013,2016-10
611132,Escuelas de educaciÃ³n secundaria general del sector pÃºblico,Secundaria general,Adolescencia (12 a 14 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,656,2013,2016-10
611141,Escuelas de educaciÃ³n secundaria tÃ©cnica del sector privado,Secundaria técnica,Adolescencia (12 a 14 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,9,2013,2016-10
611142,Escuelas de educaciÃ³n secundaria tÃ©cnica del sector pÃºblico,Secundaria técnica,Adolescencia (12 a 14 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,183,2013,2016-10
611151,Escuelas de educaciÃ³n media tÃ©cnica terminal del sector privado,Educación técnica terminal para adolescentes,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Privado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,36,2013,2016-10
611152,Escuelas de educaciÃ³n media tÃ©cnica terminal del sector pÃºblico,Educación técnica terminal para adolescentes,Adolescencia (15 a 17 años aprox.; puede incluir mayores),No especificado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,2,2013,2016-10
611161,Escuelas de educaciÃ³n media superior del sector privado,Educación media superior,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Privado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,168,2013,2016-10
611162,Escuelas de educaciÃ³n media superior del sector pÃºblico,Educación media superior,Adolescencia (15 a 17 años aprox.; puede incluir mayores),No especificado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,197,2013,2016-10
611171,Escuelas del sector privado que combinan diversos niveles de educaciÃ³n,Escuela con varios niveles educativos,Niñez y adolescencia (edad exacta no especificada),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,770,2013,2016-10
611172,Escuelas del sector pÃºblico que combinan diversos niveles de educaciÃ³n,Escuela con varios niveles educativos,Niñez y adolescencia (edad exacta no especificada),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,105,2013,2016-10
611181,Escuelas del sector privado de educaciÃ³n para necesidades especiales,Educación especial,Niñez y adolescencia (edad exacta no especificada),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,82,2013,2016-10
611182,Escuelas del sector pÃºblico de educaciÃ³n para necesidades especiales,Educación especial,Niñez y adolescencia (edad exacta no especificada),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,127,2013,2016-10
