llavemod,llaveviv,llavehog,activ_prod_con_cp,activ_prod_sin_cp,activ_merc,trab_merc_pv,tras_trab,bus_trab,prod_bien_trab_auto,trab_no_rem_vol,trab_no_rem_hog,prep_serv_alim,limp_viv,limp_rop,mant_viv,compras_hog,pagos_tram_hog,org_sup_hog,trab_no_rem_con_cp,trab_no_rem_cuid_hog,cuid_esp_int_hog_con_cp,cuid_esp_int_hog_sin_cp,cuid_int_0a5_con_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_con_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_con_cp,cuid_int_60mas_sin_cp,trab_no_rem_otros_hog,apoy_hog_fam,trab_dom_otros_hog_fam,cuid_esp_disc_enf,cuid_per_otros_hog,trab_no_rem_no_fam,prod_bien_hog_rural,prep_serv_alim_rural,activ_cuid_per,activ_estud,activ_conviv,edad,sexo,niv,gra,cvegeo_x,cve_ent_x,tloc_x,menor10,escolaridad,cond_ind,cond_disc,cond_aee,est_dis_x,upm_dis_x,fac_per,control,viv_sel,hogar,n_ren,cve_ent_y,cvegeo_y,tloc_y,est_dis_y,upm_dis_y,fac_viv
91583105103.0,91583105,915831051,55.41666666666666,55.41666666666666,25.0,20.0,5.0,0.0,0.0,30.41666666666666,30.41666666666666,14.0,12.91666666666666,1.66666666666666,0.0,1.0,0.5,0.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.33333333333333,0.0,28.8,29,2,8,4,9,9,1,2,4.0,2,2,1,74,1276,5311,915831,5,1,3,9,9,1,74,1276,5351
91583105104.0,91583105,915831051,89.96666666666665,89.96666666666665,60.0,40.0,20.0,0.0,0.0,29.96666666666666,20.96666666666666,7.5,6.0,3.5,0.0,2.0,0.0,1.96666666666666,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,5.0,49.91666666666666,29,2,8,3,9,9,1,2,4.0,2,2,1,74,1276,5311,915831,5,1,4,9,9,1,74,1276,5351
91583105105.0,91583105,915831051,13.83333333333333,13.83333333333333,0.0,0.0,0.0,0.0,0.0,13.83333333333333,10.83333333333333,3.66666666666666,3.75,1.83333333333333,0.08333333333333,0.33333333333333,0.0,1.16666666666666,0.83333333333333,0.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.83333333333333,0.0,0.0,2.16666666666666,2.16666666666666,0.0,0.5,1.66666666666666,0.0,0.0,0.0,58.5,86.0,76.5,20,1,8,1,9,9,1,2,4.0,2,2,4,74,1276,5430,915831,5,1,5,9,9,1,74,1276,5351
91597902101.0,91597902,915979021,96.75,96.75,45.0,36.0,9.0,0.0,3.16666666666666,48.58333333333333,38.41666666666666,12.0,13.75,2.5,0.0,3.83333333333333,4.0,2.33333333333333,1.66666666666666,1.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.66666666666666,0.0,0.0,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,66.16666666666666,0.0,28.58333333333333,43,2,5,3,9,9,1,2,3.0,2,2,1,74,1277,4587,915979,2,1,1,9,9,1,74,1277,4653
91597902102.0,91597902,915979021,28.3,28.3,18.0,12.0,6.0,0.0,0.0,10.3,10.3,7.0,1.16666666666666,1.91666666666666,0.0,0.0,0.0,0.21666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,8.0,64,1,6,3,9,9,1,2,3.0,1,2,1,74,1277,4626,915979,2,1,2,9,9,1,74,1277,4653
91597902103.0,91597902,915979021,76.9,76.9,67.0,63.0,4.0,0.0,0.0,9.9,9.9,7.0,1.16666666666666,1.5,0.0,0.0,0.0,0.23333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.16666666666666,0.0,42.0,23,1,6,3,9,9,1,2,3.0,2,2,1,74,1277,4721,915979,2,1,3,9,9,1,74,1277,4653
90861104101.0,90861104,908611041,9.58333333333333,9.58333333333333,0.0,0.0,0.0,0.0,0.0,9.58333333333333,7.58333333333333,0.75,4.33333333333333,0.0,0.0,1.0,1.33333333333333,0.16666666666666,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,78.16666666666666,0.0,22.5,67,1,6,2,9,9,1,2,3.0,2,1,6,76,1218,4087,908611,4,1,1,9,9,1,76,1218,4093
90861104102.0,90861104,908611041,44.41666666666666,44.41666666666666,0.0,0.0,0.0,0.0,0.0,44.41666666666666,29.91666666666666,17.5,7.91666666666666,1.0,0.0,3.0,0.33333333333333,0.16666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,14.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,65.75,0.0,24.5,58,2,3,3,9,9,1,2,2.0,2,2,5,76,1218,4020,908611,4,1,2,9,9,1,76,1218,4093
90861104103.0,90861104,908611041,45.0,45.0,33.0,27.0,6.0,0.0,0.0,12.0,10.33333333333333,7.0,2.33333333333333,0.0,0.0,1.0,0.0,0.0,1.66666666666666,1.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,56.0,21.33333333333333,23,2,6,3,9,9,1,2,3.0,2,2,1,76,1218,4135,908611,4,1,3,9,9,1,76,1218,4093
90861105101.0,90861105,908611051,158.16666666666666,123.16666666666666,64.0,61.0,3.0,0.0,0.0,94.16666666666666,38.58333333333333,13.0,17.08333333333333,5.5,0.0,0.0,1.0,2.0,55.58333333333333,20.58333333333333,41.58333333333333,6.58333333333333,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.25,0.0,17.83333333333333,46,2,6,3,9,9,1,2,3.0,2,2,1,76,1218,4052,908611,5,1,1,9,9,1,76,1218,4093
