Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
320193,6317831,09014623991000155000000000U1,RESIDENCIA VILLAZUL,OPERADORA DE RESIDENCIAS,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,101 a 250 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE NORTE,3103,0,CALLE,LA MORENA,415,090140001005A,005A,003,19.39875475,-99.16214724,1,2010-07,2010,2018,2026,05,2026-05,denue_09_shp.zip
300923,6316603,09003623991000084000026058S6,CASA DE REPOSO PARA ANCIANOS,ASOCIACION FRANCO MEXICANA SUIZA Y BELGA DE BENEFICENCIA,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,31 a 50 personas,Fijo,Coyoacán,Coyoacán,DEL CARMEN,4000,0,CALLE,AYUNTAMIENTO,43,0900300010130,0130,019,19.35108956,-99.16797307,1,2010-07,2010,2018,2026,05,2026-05,denue_09_shp.zip
325674,6318235,09015623311000105003000000U4,FUNDACION PARA ANCIANOS CONCEPCION BEISTEGUI,FUNDACION PARA ANCIANOS CONCEPCION BEISTEGUI,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,51 a 100 personas,Fijo,Cuauhtémoc,Cuauhtémoc,CENTRO,6080,0,CALLE,REGINA,7,090150001088A,088A,004,19.42817232,-99.13847769,1,2014-12,2014,2018,2026,05,2026-05,denue_09_shp.zip
325612,6319210,09010623311000025000000000U5,FUNDACIÓN DE AYUDA A LA ANCIANIDAD,FUNDACION DE AYUDA A LA ANCIANIDAD,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,51 a 100 personas,Fijo,Álvaro Obregón,Álvaro Obregón,SAN ÁNGEL,1060,0,CALLE,RÍO HONDO,64,090100001110A,110A,002,19.34517864,-99.20182209,1,2014-12,2014,2018,2026,05,2026-05,denue_09_shp.zip
308813,739148,09002624122000012002000000U0,CENTRO DE DIA NUEVA SANTA MARIA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,Azcapotzalco,Azcapotzalco,NUEVA SANTA MARÍA,02800,1,AVENIDA,AVENIDA DE LOS MAESTROS,486,0900200010843,0843,021,19.46137512,-99.16535415,1,2010-07,2010,2018,2026,05,2026-05,denue_09_shp.zip
300651,9404769,09002624122000027000018443S8,CENTRO NACIONAL MODELOS DE ATENCION INVESTIGACION Y CAPACITACION GERONTOLOGICA VICENTE GARCIA TORRES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN ÁLVARO,02990,1,AVENIDA,AZCAPOTZALCO,59,0900200010792,0792,011,19.46180911,-99.18825233,1,2026-04,2026,2018,2026,05,2026-05,denue_09_shp.zip
305984,871791,09014813110000081002000000U6,ASOCIACION MEXICANA PRO-REHABILITACION INTEGRAL,ASOCIACION MEXICANA PROSREHABILITACION INTEGRAL,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,REHABILIT,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Benito Juárez,Benito Juárez,SAN PEDRO DE LOS PINOS,03800,1,AVENIDA,DOS,76,0901400010350,0350,007,19.39088764,-99.18401505,1,2010-07,2010,2018,2026,05,2026-05,denue_09_shp.zip
303831,982646,09014711192000023001000000U9,CENTRO CULTURAL DE LA TERCERA EDAD ALHAMBRA,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES INAPAM,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,PORTALES SUR,03300,1,CALLE,ALHAMBRA,1113,090140001101A,101A,017,19.35881814,-99.14529304,1,2010-07,2010,2018,2026,05,2026-05,denue_09_shp.zip
304334,11013524,09014624122000033000000000U1,CENTRO TECNOLOGICO LA CABAÑA,CENTRO DE ATENCION AL ADULTO MAYOR,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE CENTRO,03100,1,CALLE,PESTALOZZI,,0901400010613,0613,001,19.37789195,-99.16169385,1,2024-11,2024,2018,2026,05,2026-05,denue_09_shp.zip
315973,902257,09014624121000042001000000U4,CUROPRAXIA,,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,0 a 5 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE NORTE,03103,1,EJE VIAL,3 PONIENTE MEDELLIN,381,090140001005A,005A,015,19.40192627,-99.16225906,1,2014-12,2014,2018,2026,05,2026-05,denue_09_shp.zip
320512,9466775,09014813230002523011000000U1,LA PIRINOLA ACTIVIDADES EDUCATIVAS Y DE DESARROLLO,LA PIRINOLA ACTIVIDADES EDUCATIVAS Y DE DESARROLLO,624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,SANTA MARÍA NONOALCO,03700,1,CALLE,B E MURILLO,28,0901400010543,0543,012,19.37938921,-99.18872938,1,2023-11,2023,2018,2026,05,2026-05,denue_09_shp.zip
320168,962253,09014621398000772011000000U3,RESIDENCIA DE DIA MITLA,INAPAM INP 780922,624122,Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados,Salud,Centro de cuidado diurno para personas mayores o con discapacidad,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,SCIAN mezcla atención a personas mayores y discapacidad,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NARVARTE ORIENTE,03023,1,CALLE,MITLA,73,0901400010098,0098,012,19.3971381,-99.14958367,1,2010-07,2010,2018,2026,05,2026-05,denue_09_shp.zip
